OBJECTID,NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,COMMENTS,Shape_Length,Shape_Area,SSL,DATE_ACQUIRED
1,Kingman and Heritage Islands,Anacostia River between Benning Rd. and Railroad Bridge,PARK,DPR_343F,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,7,,12,,343F,none,,4414.942613,185077.7284,RES 343F0000,
2,Bald Eagle Hill,"Nichols & Southern Aves., SW",REC CENTER GROUNDS,DPR_0561,Y,1,0,2,0,0,0,2,0,N,N,1,1,1,1,0,0,0,N,,,,Y,,Y,0,5,RpLACE,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,8,,8,,561,none,Subdivision Book 158 Page 40 (TOJ for Recreation Purposes),607.2549952,17016.21766,Multiple Lots,1975-01-01T00:00:00.000Z
3,Fort Greble,"South Capitol & 2nd Sts., SE & SW",REC CENTER GROUNDS,DPR_0421,Y,0,1,2,1,0,0,1,0,N,Y,0,1,0,1,1,0,0,N,,,,N,,Y,0,3,Nw,Nne,RpAIR,RpLACE,Pr,ChnLnk,MdSlp,N,8,,8,,421,Leckie Elementary School,Subdivision Book 158 Page 40 (TOJ to DC for Recreation purposes),712.0049511,24282.4187,Multiple Lots,
4,Fort Stanton,"north of Erie St., between Pearson Pl. & 16th St., SE",REC CENTER GROUNDS,DPR_0412,Y,1,0,4,0,0,0,3,0,N,N,2,1,0,1,1,0,1,N,,,,N,,Y,1,1,RpLACE,Nne,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,8,,7,,412,none,Subdivision Book 158 Page 34 (TOJ to DC for Recreation purposes),1068.971296,44256.64382,Multiple Lots,1926-01-01T00:00:00.000Z
5,Town Center Park,"4th and I Sts., SW",SMALL PARK,DPR_0722,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,722,,AMT - SURVEY OCTOBER 2007 - TOJ to DC for park & recreation purposes FOSET 2008,590.092,4523.427072,Multiple Lots,
6,Triangle Park RES 0179,"New York Ave NW, between 3rd St NW and New Jersey Ave NW",TRIANGLE,DPR_0179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,179,,TOJ TO DC,66.91820719,256.8590077,RES 01790000,
7,Walter Pierce Park,"Adams Mill and Ontario Rds., NW",PARK,DPR_0001,Y,,0,1,0,0,1,0,0,N,Y,9,0,6,1,1,0,0,N,0,0,0,Y,,N,1,7,,Pr,Nne,RpLACE,Pr,Ir,Flt,N,1,,4,Y,none,,,613.9969016,16458.43466,2547    0810,1972-12-14T00:00:00.000Z
8,Canal Park,"2nd St., between M and L Sts., SE",PARK,DPR_017D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,,,017D,,Subdivision Books (148 & 158) Pages (106 & 50) (TOJ for Recreation Purposes),246.966,2821.305722,0769    0823,
9,Canal Park,"2nd St., between K and L Sts., SE",PARK,DPR_017C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,,,017C,none,Subdivision Books (148 & 158) Pages (106 & 50) (TOJ for Recreation Purposes),213.544,2315.576835,0768    0811,
10,Murch Field,Davenport and Reno Rd.,PARK,DPR_0515,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,3,,1,,515,,TOJ TO DC Subdivision Book 106 Page 25,202.3644537,2443.566739,1980    0814,
11,Fort Reno,"Nebraska Ave., between Fessenden and Chesapeake Sts., NW",PARK,DPR_0470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,470,Woodrow Senior High School,"Subdivision Book 129, Page 27, and Book 205 Page 138. TOJ to DC for Parks, Recreation and Open Space.",3793.228906,163902.2782,1759    0807,1903-01-01T00:00:00.000Z
12,Palisades,"Potomac and Arizona Aves., NW",REC CENTER GROUNDS,DPR_0504,Y,1,0,2,0,0,0,3,0,N,Y,0,1,5,1,1,0,0,N,0,0,0,N,,Y,1,21,RpLACE,RpAIR,RpAIR,RpLACE,Pr,ChnLnk,Flt,N,3,,3,,504,none,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1211.39362,57629.26378,1415S   0802,1971-10-18T00:00:00.000Z
13,Florida Avenue Playground,"First Street and Florida Avenue, NW",PARK,DPR_0011,Y,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,N,5,,5,,none,none,,291.1828952,4066.491114,0551    0232,
14,Hardy,"Foxhall Rd. and Q St., NW",REC CENTER GROUNDS,DPR_0709,Y,0,0,1,0,0,0,2,0,,N,2,0,3,1,1,0,0,N,0,0,0,N,,Y,0,8,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,Flt,N,3,,3,,709,none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),698.2078581,21362.39004,RES 07090000,1972-11-14T00:00:00.000Z
15,Carter G. Woodson Memorial Park,"Rhode Island Ave.,9th St.,Q St.,NW",TRIANGLE,DPR_0157,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,157,none,TOJ for Comp Plan,132.4207728,646.1516048,RES 01570000,1972-12-14T00:00:00.000Z
16,Triangle Park RES 314A,"Minnesota Ave.,16th St.,T St.,SE",TRIANGLE,DPR_314A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,,314A,none,TOJ for Comp Plan,117.6199274,551.81613,RES 314A0000,
17,Triangle Park RES 0159,"Rhode Island Ave.,6th St.,R St.,NW",TRIANGLE,DPR_0159,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,159,none,TOJ for Comp Plan,98.47712674,344.7528151,0444N   0800,
18,Deanwood,"49th and Quarles Sts., NE",REC CENTER GROUNDS,DPR_0666,Y,1,0,0,0,0,0,3,0,N,N,5,0,1,1,1,0,1,N,0,0,0,Y,,N,0,6,Nw,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,7,,13,Y,666,Ronald Brown Middle School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),588.0867748,22649.32823,5162    0026,1968-01-18T00:00:00.000Z
19,Evans Park,"East Capitol and Blaine Sts., to 55th St. & 57th Pl., SE",PARK,DPR_0016,Y,1,1,1,0,0,0,2,0,N,N,0,0,0,0,1,0,0,N,0,0,0,N,,N,0,0,RpLACE,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,7,,13,N,none,Evans Middle School,"Subdivision Book 140, Page 173",559.6712251,20355.49524,5244    0804,
20,Triangle Park RES 0485,"Blaine St., Brooks & 51st Sts., SE",TRIANGLE,DPR_0485,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,485,none,TOJ for Comp Plan,187.9310982,606.5203711,RES 04850000,
21,Triangle Park 5189    0845,"Central Ave.,49th St.,East Capitol St.,NE",TRIANGLE,DPR_0018,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,none,none,,127.8654967,665.6014559,5189    0845,
22,Triangle Park RES 337C,"Minnesota Ave.,36th St.,Croffut Pl.,SE",TRIANGLE,DPR_337C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,14,,337C,none,TOJ for Comp Plan,136.774449,720.636413,RES 337C0000,
23,Harrison,"U and V Sts., to 13th & 14th Sts., NW",REC CENTER GROUNDS,DPR_0640,Y,1,0,1,0,0,0,0,0,N,N,1,0,0,1,1,0,0,N,0,0,0,N,,N,0,9,RpLACE,RpAIR,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,1,,4,N,640,none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),284.0271168,4063.830802,0236    0830,1972-11-14T00:00:00.000Z
24,Triangle Park RES 0238,"North Carolina Ave.,15th St.,Consitution Ave.,NE",TRIANGLE,DPR_0238,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,238,none,TOJ for Comp Plan,122.0495975,554.9107759,RES 02380000,
25,Triangle Park RES 0235,"North Carolina Avenue and A Street, NE",SMALL PARK,DPR_0235,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,,235,none,TOJ for Comp Plan,161.2552576,1028.587057,RES 02350000,
26,Rumsey Aquatic Center,"7th St. and N. Carolina Ave., NE",REC CENTER GROUNDS,DPR_0019,Y,0,0,0,0,0,0,0,0,N,N,6,0,0,0,0,1,0,N,0,0,0,,,N,0,5,Nne,RpAIR,Nw,RpLACE,,Nne,Flt,N,6,,12,N,none,none,"Subdivision Book 28, Page 99, Survey Book 29, Page 108",131.4322116,864.6954665,0872    0800,1972-12-14T00:00:00.000Z
27,Amidon Field,"4th and G Sts., SW",PARK,DPR_0711,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,5,,711,Amidon Elementary School,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),497.3076721,9168.750167,0498    0885,1985-01-01T00:00:00.000Z
28,Kennedy,"P St., between 6th and 7th Sts., NW",REC CENTER GROUNDS,DPR_0020,Y,1,0,2,0,0,0,1,0,N,Y,1,1,0,1,1,0,0,N,0,0,0,Y,,Y,0,6,Nw,Pr,Nw,RpLACE,Pr,Ir,Flt,N,6,,5,Y,none,none,,646.176,12820.61952,Multiple Lots,
29,New York Ave Daycare,"New York Ave. and 1st St., NW",REC CENTER GROUNDS,DPR_0021,Y,1,0,2,0,0,0,0,0,N,N,4,0,0,1,1,0,0,N,0,0,0,N,,N,0,1,RpAIR,Nne,RpAIR,RpLACE,Pr,ChnLnk,Flt,N,5,,5,N,none,none,,515.8575633,9644.572457,Multiple Lots,1944-05-29T00:00:00.000Z
30,10th and French Street Park,10th & French St. NW,SMALL PARK,DPR_0022,Y,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Flt,,6,,5,,none,none,,88.392,443.136528,Multiple Lots,
31,Kelly Miller Park,"49th and 50th Sts., Brooks Pl., NE",PARK,DPR_0628,Y,2,0,2,0,0,0,3,0,N,,0,0,0,0,0,1,0,N,0,0,0,N,,Y,0,0,RpAIR,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,7,,13,N,628,Kelly Miller Middle School,"Subdivision 158, Page 37.  TOJ to DC for recreation purposes",1121.415278,59370.05283,Multiple Lots,1972-11-14T00:00:00.000Z
32,Fletcher-Johnson,"Benning Rd., C St., and St Louis St. SE",PARK,DPR_0030,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,7,,,,none,none,,738.5908033,30169.85977,5344    0802,
33,Douglass Recreation Center,Douglass Rec Ctr. (Ft. Stanton Park to St. Elizabeth Hospital),REC CENTER GROUNDS,DPR_0519,Y,1,0,2,0,0,0,0,0,N,N,1,1,4,1,1,0,1,Y,,,,N,,Y,1,6,RpLACE,Nne,RpLACE,RpLACE,RpAIR,ChnLnk,Flt,N,8,,8,,519,none,"Subdivision 158, Page 34.  TOJ to DC for recreation purposes",702.1326732,21504.85968,Multiple Lots,
34,Triangle Park RES 314C,"Minnesota Avenue and Good Hope Road, SE",SMALL PARK,DPR_314C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,,314C,none,TOJ for Comp Plan,113.7985583,670.2593625,RES 314C0000,
35,Stead,"15th and 16th Sts., to P & Church Sts., NW",REC CENTER GROUNDS,DPR_0660,Y,1,0,2,0,0,0,0,0,N,N,4,0,1,1,1,0,0,N,0,0,0,Y,,N,1,8,RpAIR,RpAIR,Nw,RpLACE,Pr,ChnLnk,Flt,N,2,,4,,660,none,(TOJ for Recreation Purposes),330.2117223,6419.804584,0180    0813,1972-12-14T00:00:00.000Z
36,Decatur Terrace Steps and Fountain ,"22nd St., between Decatur Pl. & S St., NW",SMALL PARK,DPR_057C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,057C,,"Subdivision Book 158, Page 44.  TOJ for Comp Plan",129.6374832,838.5051711,2515    0815,
37,Triangle Park RES 0166,"Vermont Ave. & 12th St., north of R St., NW",SMALL PARK,DPR_0166,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,166,,"Subdivision Book 143, Page 45.  TOJ TO DC",64.52763258,152.564078,RES 01660000,
38,Triangle Park RES 0116,"Virginia Ave., east side of 6th & D Sts., SW",TRIANGLE,DPR_0116,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,116,,"Subdivision Book 123, Page 130.  TOJ TO DC",47.6163535,78.08189011,RES 01160000,
39,Triangle Park RES 0168,"Vermont Ave. & 11th St., north of S St., NW",SMALL PARK,DPR_0168,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,168,,TOJ TO DC,29.46486944,45.47744316,RES 01680000,
40,Triangle Park RES 0490,"Southern Ave., between Branch Ave. & Erie St., SE",TRIANGLE,DPR_0490,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,490,,"Subdivision Books (155 & 156), Pages (5 & 18).   TOJ to DC for Recreation purposes",629.6087267,17593.1037,RES 04900000,
41,Rose Park,"Rock Creek, between National Zoological Park & Theodore Roosevelt Bridge, NW",REC CENTER GROUNDS,DPR_0361,Y,1,0,1,0,0,0,3,0,N,Y,0,0,0,1,1,0,0,N,0,0,0,N,,N,1,8,Nne,Pr,RpAIR,RpAIR,Pr,ChnLnk,Flt,N,2,,3,,360,none,Subdivision Book 158 Page 34 (TOJ for Recreation Purposes),687.7302765,10374.91881,RES 06390000,
42,Triangle Park RES 0299,"Water St., Between 14th & M Sts., SE",TRIANGLE,DPR_0299,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,299,none,AMT SURVEY NPS to DC FEB 2008. - TOJ to DC FOSET 2008,135.43524,737.252,RES 02990000,
43,Benning Park Community Center,"Benning Rd., north of Hanna Pl. & Southern Ave., SE",REC CENTER GROUNDS,DPR_0692,Y,1,0,3,0,0,0,2,0,N,Y,5,1,0,1,1,0,1,N,0,0,0,N,,Y,1,5,RpAIR,RpAIR,Nw,RpLACE,RpAIR,ChnLnk,Flt,N,7,,14,N,692,none,"Subdivision Book 158 Page 4 (TOJ for Recreation Purposes).  Parcel 0193 Lots (0030-0032,0065-66),Sq.5341E Lot 0040,Sq.5342E Lots 0001 & 0002",1173.531547,36152.58602,Multiple Lots,1992-01-01T00:00:00.000Z
44,Shaw,"Rhode Island Ave. and 11th St., NW",REC CENTER GROUNDS,DPR_0155,Y,1,0,2,0,0,0,0,0,Y,N,1,0,0,0,0,0,0,N,0,0,0,N,,N,0,0,RpAIR,Nne,Nw,RpLACE,Pr,ChnLnk,Flt,N,6,,5,Y,155,Shaw Junior High School,,417.1184098,10091.81501,0336    0828,1972-12-17T00:00:00.000Z
45,NJ and O Sts Park,"1301 New Jersey Avenue, NW",PARK,DPR_0191,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,5,,191,none,,252.0612017,3756.383574,0512    0112,
