Facility Name,Physical Address,Phone
,"925 North Garfield Street, Suite D",
A Plus Kids Fun and Creative Learning Center LLC,"ARLINGTON, VA 22201",(571) 312-1912
,2201 & 2205 S. Fern Street,
Ana's Kids,"ARLINGTON, VA 22202",(703) 405-4598
,816 S. Walter Reed Drive,
Arlington Career Ctr./Teenage Parenting Program-Infant Care Ctr.,"ARLINGTON, VA 22204",(703) 228-5756
,1915 N. Uhle Street,
Arlington Children's Center,"ARLINGTON, VA 22201",(703) 528-5588
,3809 and 3813 N. Washington Blvd.,
Arlington Montessori House,"ARLINGTON, VA 22201",(703) 524-2511
,5711 S. 4th Street,
ARLINGTON P&R- CARLIN HALL PS & TOT CAMP,"ARLINGTON, VA 22204",(703) 379-1390
,300 North Park Drive,
Arlington P&R-Fairlington Community Center,"ARLINGTON, VA 22203",(703) 228-6430
,2700 S. Lang Street,
Arlington P&R-Gunston Creative Preschool,"ARLINGTON, VA 22206",(703) 228-6981
,2121 North Culpepper Street,
Arlington P&R-Lubber Run Pre-School & Tot Camp,"ARLINGTON, VA 22207",(703) 228-4742
,3829 North Stafford Street,
Arlington P&R-Madison Community Center,"ARLINGTON, VA 22207",(703) 228-5316
,4444 Arlington Blvd.,
Arlington Unitarian Cooperative PS,"ARLINGTON, VA 22204",(703) 892-3878
,3850 Wilson Boulevard,
Ballston Children's Center,"ARLINGTON, VA 22203",(703) 527-7200
,"2401 9th Street, North",
Blue Bird Day School,903 and 907 North Barton Street,(703) 525-7117
,"ARLINGTON, VA 22201",
,"4001 Fairfax Drive, Suite 175",
Bright Horizons at Ballston,"ARLINGTON, VA 22203",(571) 397-3933
,2000 14th Street North,
Bright Horizons at Courthouse Station,Suite 100,(571) 305-5104
,"ARLINGTON, VA 22201",
,2451 Crystal Drive,
Bright Horizons at Crystal City,Suite 100,(703) 416-0767
,"ARLINGTON, VA 22202",
,1300 Wilson Blvd,
Bright Horizons at Rosslyn,"ARLINGTON, VA 22209",(703) 524-4688
,913 South 23rd Street,
Busy Bee Child Care & Educational Ctr.,"ARLINGTON, VA 22202",(703) 920-8633
,2315 S. Grant Street,
Calvary Children's Center,"ARLINGTON, VA 22202",(703) 892-4112
,3455 North Glebe Road,
Chesterbrook Montessori School,"ARLINGTON, VA 22207",(703) 241-8271
,4701 Arlington Blvd,
Chesterbrook Montessori School LLC,"ARLINGTON, VA 22203",(703) 241-8271
,2425 - A North Glebe Road,
Children's House Montessori School,"ARLINGTON, VA 22207",(703) 276-1360
,4347 Arlington Boulevard,
Children's International Preschool,"ARLINGTON, VA 22203",(703) 525-0593
,4000 Arlington Blvd.,
Children's International School at the Foreign Service Institute,"ARLINGTON, VA 22204",(703) 302-7501
,1227 North Scott Street,
Children's International School-Clarendon,"ARLINGTON, VA 22209",(703) 527-3607
,716 S. Glebe Road,
Children's Weekday Program,"ARLINGTON, VA 22204",(978) 853-5506
,1305 North Jackson Street,
Clarendon Child Care Center,"ARLINGTON, VA 22201",(703) 528-1361
,"3650 S. Glebe Road, Suite 170",
Crystal City Children's Center,"ARLINGTON, VA 22202",(703) 979-2770
,1701 N Bryan Street,
Early Steps Bilingual Pre-School,"ARLINGTON, VA 22201",(703) 243-1198
,3701 Lorcom Lane,
Early Years Preschool and Parents' Day Out,"ARLINGTON, VA 22207",(703) 465-8687
,201 12th Street South,
Everbrook Academy,Suite 102,(571) 344-3589
,"ARLINGTON, VA 22202",
,820 S. Carlin Springs Road,
Fairfax Academy of Early Learning,"ARLINGTON, VA 22204",(703) 671-5555
,1611 S. Walter Reed Drive,
Feya Preschool LLC,"ARLINGTON, VA 22204",(703) 271-1611
,3501 Fairfax Drive,
Finding Dreams in Children,Plaza Level,(703) 516-1223
,"ARLINGTON, VA 22201",
,1306 N. Highland Street,
First Baptist Church of Clarendon Development Center,"ARLINGTON, VA 22201",(703) 522-6477
,870 S. Greenbrier Street,
Full Circle Montessori School,"ARLINGTON, VA 22204",(703) 243-8282
,2230 North Fairfax Drive,
Full Circle Montessori School (N. Fairfax Drive),"ARLINGTON, VA 22201",(703) 243-8282
,801 N. Wakefield Street,
Full Circle Montessori School - Wakefield Street,"ARLINGTON, VA 22203",(571) 357-1278
,5819 Washington Blvd.,
Full Circle Montessori School - Washington Blvd.,"ARLINGTON, VA 22205",(571) 335-4637
,3440 22nd Street South,
Funshine Preschool,"ARLINGTON, VA 22206",(703) 521-1090
,1601 South 13th Road,
iSprout STEAM Academy,"ARLINGTON, VA 22204",(703) 899-5371
,758 23rd Street South,
Keshet Child Development Center,"ARLINGTON, VA 22202",(703) 535-5525
,915 N. Oakland Street,
Kinhaven School,"ARLINGTON, VA 22203",(703) 525-4636
,5722 Lee Highway,
Lee Center Cooperative Playgroup,"ARLINGTON, VA 22207",(703) 228-5255
,5232 Lee Highway,
Little Ambassadors' Academy,"ARLINGTON, VA 22207",(571) 335-4493
,5801 Lee Highway,
Little Ambassadors' Academy - Overlee,"ARLINGTON, VA 22207",(703) 635-1155
,3565 Lee Highway,
Little Ambassadors' Academy II,"ARLINGTON, VA 22207",(571) 335-4493
,606 N. Irving Street,
Little Beginnings Child Development Center,"ARLINGTON, VA 22201",(703) 527-9270
,825 23rd Street,
Maria Teresa's Babies Early Enrichment Center,"ARLINGTON, VA 22202",(703) 979-2229
,1012 S. Cleveland Street,
Metta Montessori School,"ARLINGTON, VA 22204",(703) 920-0021
,1227 North Ivy Street,
NOVA KinderCare Learning Center,"ARLINGTON, VA 22201",(703) 527-2288
,2920 S. Glebe Road,
NVFS Arlington Head Start Child Development Center,"ARLINGTON, VA 22206",(571) 748-2700
,601 North Vermont St,
NVFS Early Head Start - Vermont Center,"ARLINGTON, VA 22203",(571) 748-3628
,909 S. Dinwiddle Street,
NVFS Early Head Start Child Development Center at Arlington Mill,"ARLINGTON, VA 22204",(703) 385-5261
,2666 Military Road,
Overlee Cooperative Preschool Association,"ARLINGTON, VA 22207",(703) 522-2960
,5010 Little Falls Road,
Rock Spring Cooperative Preschool,"ARLINGTON, VA 22207",(703) 625-0334
,1101 Wilson Boulevard,
Rosslyn Children's Center,"ARLINGTON, VA 22209",(703) 524-0202
,2706 South 24th Road,
School of Children,"ARLINGTON, VA 22206",(703) 486-0880
,1235 South Clark Street,
Sparkles! at Crystal City,Suite 100,(571) 312-1052
,"ARLINGTON, VA 22202",
,2024 N. Randolph Street,
St. Agnes Preschool and Extended Day,"ARLINGTON, VA 22207",(703) 527-5423
,980 North Frederick Street,
St. Ann Preschool & Extended Day Program,"ARLINGTON, VA 22205",(703) 525-7599
,105 North Thomas Street,
St. Thomas More Cathedral School Preschool and Extended Day,"ARLINGTON, VA 22203",(703) 528-6781
,3120 South Abingdon Street,
STEM Preschool,"ARLINGTON, VA 22206",(703) 639-4601
,4420 N. Fairfax Drive,
The Children's School,Suite 202,(703) 462-5180
,"ARLINGTON, VA 22203",
,2201 North Pershing Drive,
The Merit School of Arlington (#69),Suite K,(571) 257-7660
,"ARLINGTON, VA 22201",
,2311 Wilson Blvd #112,
The Merit School of Clarendon (#76),"ARLINGTON, VA 22201",(703) 566-5075
,5533 North 16th Street,
Trinity Presbyterian Preschool,"ARLINGTON, VA 22205",(703) 536-5616
,1712 S. Taylor Street,
Virginia Gardens Community Center,"ARLINGTON, VA 22204",(703) 521-0974
,1125 Patrick Henry Drive,
YMCA Arlington at Westover Baptist Church,"ARLINGTON, VA 22205",(703) 525-5420
,3422 North 13th Street,
YMCA/METRO - Arlington Branch,"ARLINGTON, VA 22201",(703) 525-5420
