,gsId,name,type,gradeRange,enrollment,parentRating,city,state,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,gsRating,districtId,district,districtNCESId,Zip Code
0,394,Academia de la Recta Porta,private,PK-12,72.0,4.0,Washington,DC,"7614 Georgia Ave NW, 
Washington, DC  20012",(202) 726-8737,,,A0300737,38.982582,-77.02679,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral,,,,,20012
1,862,Academy for Ideal Education - Gallatin Street,private,PK-5,,,Washington,DC,"1501 Gallatin Street, 
Washington, DC  20001",(202) 726-0313,(202) 726-9265,http://www.idealacademy.org/our-philosophy/,,38.952175,-77.03474,https://www.greatschools.org/washington-dc/washington/862-Academy-For-Ideal-Education---Gallatin-Street/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/862-Academy-For-Ideal-Education---Gallatin-Street/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/862-Academy-For-Ideal-Education---Gallatin-Street/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/862-Academy-For-Ideal-Education---Gallatin-Street/?utm_source=GSAPI&utm_medium=referral,,,,,20001
2,246,Academy for Ideal Education - T Street,private,1-12,65.0,4.0,Washington,DC,"62 T st N.E washington, 
Washington, DC  20002",(202) 269-3186,(202) 269-3426,http://www.idealacademy.org/,A9901125,38.91555,-77.00846,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral,,,,,20002
3,587,Achievement Preparatory Academy PCS,charter,4-8,383.0,4.0,Washington,DC,"908 Wahler Place Southeast, 
Washington, DC  20032",(202) 562-1214,(202) 562-1219,http://www.aprepacademy.org,110007200405,38.83435,-76.99234,https://www.greatschools.org/washington-dc/washington/587-Achievement-Preparatory-Academy-PCS/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/587-Achievement-Preparatory-Academy-PCS/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/587-Achievement-Preparatory-Academy-PCS/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/587-Achievement-Preparatory-Academy-PCS/?utm_source=GSAPI&utm_medium=referral,4.0,113.0,Achievement Preparatory Academy Pcs,1100072.0,20032
4,1206,Achievement Preparatory PCS-Elementary,charter,PK-3,,,Washington,DC,"908 Wahler Place Southeast, 
Washington, DC  20032",(202) 727-7373,,http://www.aprepacademy.org,110007200473,38.83435,-76.99234,https://www.greatschools.org/washington-dc/washington/1206-Achievement-Preparatory-PCS-Elementary/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/1206-Achievement-Preparatory-PCS-Elementary/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/1206-Achievement-Preparatory-PCS-Elementary/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/1206-Achievement-Preparatory-PCS-Elementary/?utm_source=GSAPI&utm_medium=referral,,113.0,Achievement Preparatory Academy Pcs,1100072.0,20032
5,1218,"Acton Academy of Washington, DC",private,1-4,16.0,,Washington,DC,"2422 K Street, NW, Washington, DC 20037, 
Washington, DC  20007",(202) 495-0507,,http://www.actondc.org,,38.9305,-77.070946,"https://www.greatschools.org/washington-dc/washington/1218-Acton-Academy-Of-Washington,-DC/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/washington-dc/washington/1218-Acton-Academy-Of-Washington,-DC/?utm_source=GSAPI&utm_medium=referral","https://www.greatschools.org/washington-dc/washington/1218-Acton-Academy-Of-Washington,-DC/?utm_source=GSAPI&utm_medium=referral#Reviews","https://www.greatschools.org/washington-dc/washington/1218-Acton-Academy-Of-Washington,-DC/?utm_source=GSAPI&utm_medium=referral",,,,,20007
6,194,Aidan Montessori School,private,PK-6,198.0,4.0,Washington,DC,"2700 27th Street Northwest, 
Washington, DC  20008",(202) 387-2700,(202) 387-1777,www.aidanschool.org,00253517,38.9262,-77.05561,https://www.greatschools.org/washington-dc/washington/194-Aidan-Montessori-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/194-Aidan-Montessori-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/194-Aidan-Montessori-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/194-Aidan-Montessori-School/?utm_source=GSAPI&utm_medium=referral,,,,,20008
7,97,Aiton Elementary School,public,PK-5,252.0,,Washington,DC,"533 48th Place Northeast, 
Washington, DC  20019",(202) 671-6060,(202) 724-4630,http://www.dcps.dc.gov,110003000122,38.897007,-76.93336,https://www.greatschools.org/washington-dc/washington/97-Aiton-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/97-Aiton-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/97-Aiton-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/97-Aiton-Elementary-School/?utm_source=GSAPI&utm_medium=referral,4.0,1.0,District Of Columbia Public Schools,1100030.0,20019
8,881,Alternative Solutions for Youth,private,n/a,,,Washington,DC,"1301 Lenfant Square, 
Washington, DC  20020",(202) 584-1244,(423) 472-2718,http://dcase.org/Alternative,,38.87393,-76.97009,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral,,,,,20020
9,96,Amidon-Bowen Elementary School,public,PK-5,350.0,4.0,Washington,DC,"401 I Street Southwest, 
Washington, DC  20024",(202) 724-4867,,http://www.amidonbowen.org/,110003000121,38.879833,-77.01829,https://www.greatschools.org/washington-dc/washington/96-Amidon-Bowen-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/96-Amidon-Bowen-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/96-Amidon-Bowen-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/96-Amidon-Bowen-Elementary-School/?utm_source=GSAPI&utm_medium=referral,2.0,1.0,District Of Columbia Public Schools,1100030.0,20024
