,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,Zip Code
0,4961,Arlington Mill High School,public,9-12,285.0,2.0,5.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"800 South Walter Reed Drive, 
Arlington, VA  22204",(703) 228-5350,,http://www.apsva.us/Domain/3711,510027002875,38.865307,-77.08801,https://www.greatschools.org/virginia/arlington/4961-Arlington-Mill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/4961-Arlington-Mill-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/4961-Arlington-Mill-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/4961-Arlington-Mill-High-School/?utm_source=GSAPI&utm_medium=referral,22204
1,2100,Bishop Denis J O'connell High School,private,9-12,1200.0,,4.0,Arlington,VA,,,,"6600 North Little Falls Road, 
Arlington, VA  22213",(703) 237-1400,(703) 237-1465,http://www.bishopoconnell.org/,1636044,38.89439,-77.16073,https://www.greatschools.org/virginia/arlington/2100-Bishop-Denis-J-O'connell-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2100-Bishop-Denis-J-O'connell-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2100-Bishop-Denis-J-O'connell-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/2100-Bishop-Denis-J-O'connell-High-School/?utm_source=GSAPI&utm_medium=referral,22213
2,5369,Family Education Center for Parenting Teens,public,n/a,,,,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"1644 North McKinley Road, 
Arlington, VA  22205",(703) 228-2700,,,510027002861,38.886757,-77.14195,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,22205
3,5247,Governor's Academy for Career and Technical Education In Arlington,public,n/a,,,,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"816 South Walter Reed Drive, 
Arlington, VA  22204",(703) 323-2263,,,510027003003,38.864452,-77.08828,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/5247-Governor's-Academy-For-Career-And-Technical-Education-In-Arlington/?utm_source=GSAPI&utm_medium=referral,22204
4,3304,Hb Woodlawn Secondary Prgm.,public,n/a,,,5.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"4100 Vacation Lane, 
Arlington, VA  22207",(703) 228-6363,,http://www.apsva.us/woodlawn/site/default.asp,510027002659,38.90026,-77.11186,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/3304-Hb-Woodlawn-Secondary-Prgm./?utm_source=GSAPI&utm_medium=referral,22207
5,4960,Langston High School Continuation Program,public,n/a,,,3.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"2121 North Culpeper Street, 
Arlington, VA  22207",(703) 228-5295,,http://www.apsva.us/hsc/site/default.asp,510027002944,38.89597,-77.12667,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/4960-Langston-High-School-Continuation-Program/?utm_source=GSAPI&utm_medium=referral,22207
6,5427,New Directions Alternative High School Program,public,n/a,,,,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"2847 Wilson Boulevard, 
Arlington, VA  22201",(703) 228-2117,,http://apsva.us/Domain/2767,510027002860,38.889095,-77.09283,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/5427-New-Directions-Alternative-High-School-Program/?utm_source=GSAPI&utm_medium=referral,22201
7,3045,Stratford Program,public,n/a,,,1.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"1644 North McKinley Street, 
Arlington, VA  22207",(703) 228-6440,,http://www.apsva.us/stratford/site/default.asp,510027002331,38.886642,-77.1417,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/3045-Stratford-Program/?utm_source=GSAPI&utm_medium=referral,22207
8,3044,Tech. Ed. & Career Center,public,n/a,,,,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"816 South Walter Reed Drive, 
Arlington, VA  22204",(703) 228-5800,,http://www.apsva.us/careercenter/site/default.asp,510027000109,38.864452,-77.08828,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/3044-Tech.-Ed.-&-Career-Center/?utm_source=GSAPI&utm_medium=referral,22204
9,132,Wakefield High School,public,9-12,1962.0,3.0,3.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"1325 South Dinwiddie Street, 
Arlington, VA  22204",(703) 228-6700,(703) 228-6760,http://www.apsva.us/wakefield/site/default.asp,510027000111,38.8479,-77.11193,https://www.greatschools.org/virginia/arlington/132-Wakefield-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/132-Wakefield-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/132-Wakefield-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/132-Wakefield-High-School/?utm_source=GSAPI&utm_medium=referral,22204
