,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,Zip Code
0,110,Abingdon Elementary School,public,PK-5,598.0,4.0,5.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"3035 South Abingdon Street, 
Arlington, VA  22206",(703) 228-6650,,http://www.apsva.us/abingdon/site/default.asp,510027000081,38.83964,-77.095566,https://www.greatschools.org/virginia/arlington/110-Abingdon-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/110-Abingdon-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/110-Abingdon-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/110-Abingdon-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22206
1,138,Arlington Science Focus School,public,PK-5,575.0,8.0,4.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"1501 North Lincoln Street, 
Arlington, VA  22201",(703) 228-7670,,http://www.apsva.us/asfs/site/default.asp,510027001067,38.890186,-77.10222,https://www.greatschools.org/virginia/arlington/138-Arlington-Science-Focus-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/138-Arlington-Science-Focus-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/138-Arlington-Science-Focus-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/138-Arlington-Science-Focus-School/?utm_source=GSAPI&utm_medium=referral,22201
2,127,Arlington Traditional,public,PK-5,502.0,10.0,4.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"855 North Edison Street, 
Arlington, VA  22205",(703) 228-6290,,http://www.apsva.us/Domain/282,510027000104,38.879723,-77.12186,https://www.greatschools.org/virginia/arlington/127-Arlington-Traditional/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/127-Arlington-Traditional/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/127-Arlington-Traditional/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/127-Arlington-Traditional/?utm_source=GSAPI&utm_medium=referral,22205
3,111,Ashlawn Elementary School,public,PK-5,656.0,7.0,5.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"5950 8th Road North, 
Arlington, VA  22205",(703) 228-5270,,http://www.apsva.us/ashlawn/site/default.asp,510027000082,38.872837,-77.13634,https://www.greatschools.org/virginia/arlington/111-Ashlawn-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/111-Ashlawn-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/111-Ashlawn-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/111-Ashlawn-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22205
4,112,Barcroft Elementary School,public,PK-5,488.0,2.0,5.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"625 South Wakefield Street, 
Arlington, VA  22204",(703) 228-5838,,http://www.apsva.us/barcroft/site/default.asp,510027000083,38.86181,-77.107704,https://www.greatschools.org/virginia/arlington/112-Barcroft-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/112-Barcroft-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/112-Barcroft-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/112-Barcroft-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22204
5,113,Barrett Elementary School,public,PK-5,534.0,4.0,5.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"4401 North Henderson Road, 
Arlington, VA  22203",(703) 228-6288,,http://www.apsva.us/barrett/site/default.asp,510027000084,38.872845,-77.11229,https://www.greatschools.org/virginia/arlington/113-Barrett-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/113-Barrett-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/113-Barrett-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/113-Barrett-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22203
6,2649,Campbell Elementary School,public,PK-5,417.0,8.0,5.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"737 South Carlin Springs Road, 
Arlington, VA  22204",(703) 228-6770,,http://www.apsva.us/campbell/site/default.asp,510027001940,38.858303,-77.125694,https://www.greatschools.org/virginia/arlington/2649-Campbell-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2649-Campbell-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/2649-Campbell-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/2649-Campbell-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22204
7,117,Carlin Springs Elementary School,public,PK-5,584.0,5.0,4.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"5995 5th Road South, 
Arlington, VA  22204",(703) 228-6645,,http://www.apsva.us/carlinsprings/site/default.asp,510027000093,38.86286,-77.13225,https://www.greatschools.org/virginia/arlington/117-Carlin-Springs-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/117-Carlin-Springs-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/117-Carlin-Springs-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/117-Carlin-Springs-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22204
8,3008,Claremont Immersion,public,PK-5,727.0,4.0,4.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"4700 South Chesterfield Road, 
Arlington, VA  22206",(703) 228-2500,,http://www.apsva.us/claremont/site/default.asp,510027002404,38.8477,-77.10582,https://www.greatschools.org/virginia/arlington/3008-Claremont-Immersion/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3008-Claremont-Immersion/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/3008-Claremont-Immersion/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/3008-Claremont-Immersion/?utm_source=GSAPI&utm_medium=referral,22206
9,7624,Discovery Elementary School,public,PK-5,540.0,9.0,,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"5241 36th Street North, 
Arlington, VA  22207",(703) 288-2685,,http://www.apsva.us/Domain/4352,510027003006,38.908524,-77.14729,https://www.greatschools.org/virginia/arlington/7624-Discovery-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/7624-Discovery-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/7624-Discovery-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/7624-Discovery-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22207
10,114,Drew Model Elementary School,public,PK-5,657.0,4.0,4.0,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"3500 23rd Street South, 
Arlington, VA  22206",(703) 228-5825,,http://www.apsva.us/drew/site/default.asp,510027000087,38.848476,-77.08694,https://www.greatschools.org/virginia/arlington/114-Drew-Model-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/114-Drew-Model-Elementary-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/114-Drew-Model-Elementary-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/114-Drew-Model-Elementary-School/?utm_source=GSAPI&utm_medium=referral,22206
11,5369,Family Education Center for Parenting Teens,public,n/a,,,,Arlington,VA,35.0,Arlington County Public Schools,5100270.0,"1644 North McKinley Road, 
Arlington, VA  22205",(703) 228-2700,,,510027002861,38.886757,-77.14195,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/arlington/5369-Family-Education-Center-For-Parenting-Teens/?utm_source=GSAPI&utm_medium=referral,22205
