,Features,Current Score,New Score,Change
9,Availability of Parks,0.1,0.4,3.0000000000000004
10,Availability of Pharmacy,0.1,0.2,1.0
12,Safety,0.1,0.1,0.0
13,Public Transportation,0.1,0.4,3.0000000000000004
16,Child Care,0.1,0.30000000000000004,2.0000000000000004
17,Elementary School,0.2,0.30000000000000004,0.5000000000000001
18,Middle School,0.2,0.2,0.0
19,High School,0.1,0.4,3.0000000000000004
20,Hospital,0.1,0.1,0.0
22,Grocery | Bargain,0.2,0.4,1.0
23,Total,1.2999999999999998,2.8000000000000003,1.1538461538461544
24,Rental for Studio,905.0,2130.0,1.3535911602209945
25,Rental for 1 Bed,1002.142857,2516.625,1.5112437637222014
26,Rental for 2 Beds,1127.0,2516.625,1.2330301685891747
27,Rental for 3 Beds,1308.333333,4531.0,2.4631847142581362
