,Features,Current Score,New Score,Change
9,Availability of Parks,0.1,0.30000000000000004,2.0000000000000004
10,Availability of Pharmacy,0.1,0.2,1.0
12,Safety,0.1,0.2,1.0
13,Public Transportation,0.1,0.1,0.0
16,Child Care,0.1,0.30000000000000004,2.0000000000000004
17,Elementary School,0.2,0.4,1.0
18,Middle School,0.2,0.4,1.0
19,High School,0.1,0.2,1.0
20,Hospital,0.1,0.1,0.0
22,Grocery | Bargain,0.2,0.4,1.0
23,Total,1.2999999999999998,2.6,1.0000000000000004
24,Rental for Studio,905.0,1435.166667,0.5858195215469613
25,Rental for 1 Bed,1002.142857,1652.428571,0.6488952243262857
26,Rental for 2 Beds,1127.0,2352.833333,1.0876959476486248
27,Rental for 3 Beds,1308.333333,,
