,Features,Current Score,New Score,Change
9,Availability of Parks,0.1,0.1,0.0
10,Availability of Pharmacy,0.1,0.1,0.0
12,Safety,0.1,0.1,0.0
13,Public Transportation,0.1,0.2,1.0
16,Child Care,0.1,0.2,1.0
17,Elementary School,0.2,0.1,-0.5
18,Middle School,0.2,0.1,-0.5
19,High School,0.1,0.1,0.0
20,Hospital,0.1,0.1,0.0
22,Grocery | Bargain,0.2,0.1,-0.5
23,Total,1.2999999999999998,1.2,-0.07692307692307683
24,Rental for Studio,905.0,2103.0,1.323756906077348
25,Rental for 1 Bed,1002.142857,1327.375,0.3245367072451228
26,Rental for 2 Beds,1127.0,1651.5,0.4653948535936114
27,Rental for 3 Beds,1308.333333,1523.5,0.16445859902279197
