,Features,Current Score,New Score,Change
9,Availability of Parks,0.1,0.30000000000000004,2.0000000000000004
10,Availability of Pharmacy,0.1,0.1,0.0
12,Safety,0.1,0.1,0.0
13,Public Transportation,0.1,0.30000000000000004,2.0000000000000004
16,Child Care,0.1,0.1,0.0
17,Elementary School,0.2,0.30000000000000004,0.5000000000000001
18,Middle School,0.2,0.1,-0.5
19,High School,0.1,0.1,0.0
20,Hospital,0.1,0.1,0.0
22,Grocery | Bargain,0.2,0.2,0.0
23,Total,1.2999999999999998,1.7000000000000004,0.30769230769230815
24,Rental for Studio,905.0,1140.0,0.2596685082872928
25,Rental for 1 Bed,1002.142857,1095.9375,0.09359408426138185
26,Rental for 2 Beds,1127.0,1230.0,0.09139307897071872
27,Rental for 3 Beds,1308.333333,1410.666667,0.078216561039036
