,Unnamed: 0,MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip Code,address,location,distance
0,0,DCDC439802,RES,CLS,1512 Marion St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/30/2019,EJF Real Estate Services (EJF1),282500.0,20001,"1512 Marion St NW , Washington, DC 20001","(38.9101288, -77.0211362148822)",0
1,1,DCDC438196,RES,CLS,820 Kennedy St NW ,Washington,"Washington, DC",3.0,3,Unit/Flat/Apartment,8/1/2019,Non Subscribing Office (NON1),610000.0,20001,"820 Kennedy St NW , Washington, DC 20001","(38.95612595, -77.0248766510541)",0
2,2,DCDC439242,RES,CLS,411 P St NW,Washington,"Washington, DC",3.0,3,Row/Townhouse,8/21/2019,RE/MAX Allegiance (RMAX20),900000.0,20001,"411 P St NW, Washington, DC 20001","(38.9096375, -77.0128158)",0
3,3,DCDC437216,RES,CLS,1415 10th St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,8/30/2019,Compass (COMPS2),854500.0,20001,"1415 10th St NW , Washington, DC 20001","(38.9091966, -77.0257049914576)",0
4,4,DCDC437676,RES,CLS,1507 3rd St NW,Washington,"Washington, DC",2.0,2,Row/Townhouse,8/29/2019,Compass (COMPS1),780000.0,20001,"1507 3rd St NW, Washington, DC 20001","(38.90992195, -77.0148864757161)",0
5,5,DCDC100345,RES,CLS,555 Massachusetts Ave NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/27/2019,Redfin Corp (REFC3),521000.0,20001,"555 Massachusetts Ave NW , Washington, DC 20001","(38.90175595, -77.0192354473468)",0
6,6,DCDC100025,RES,CLS,910 M St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/22/2019,Samson Properties (SAMP14),576000.0,20001,"910 M St NW , Washington, DC 20001","(38.90516665, -77.0248147491904)",0
7,7,DCDC436990,RES,CLS,126 Thomas St NW,Washington,"Washington, DC",3.0,1-Feb,Row/Townhouse,8/29/2019,"Long & Foster Real Estate, Inc. (LNG147)",899126.0,20001,"126 Thomas St NW, Washington, DC 20001","(38.91614785, -77.0130510258691)",0
8,8,DCDC436908,RES,CLS,1924 2nd St NW,Washington,"Washington, DC",4.0,1-Jan,Row/Townhouse,8/9/2019,Fairfax Realty Elite (FXR4),725000.0,20001,"1924 2nd St NW, Washington, DC 20001","(38.91642435, -77.0146806572019)",0
9,9,DCDC436262,RES,CLS,1815 6th St NW ,Washington,"Washington, DC",2.0,2,Row/Townhouse,8/29/2019,TTR Sotheby's International Realty (TTRS2),870000.0,20001,"1815 6th St NW , Washington, DC 20001","(38.9144975, -77.0196470537011)",0
10,10,DCDC436212,RES,CLS,437 New York Ave NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/29/2019,"Long & Foster Real Estate, Inc. (LNG1)",329000.0,20001,"437 New York Ave NW , Washington, DC 20001","(38.9047807, -77.0173980308343)",0
11,11,DCDC435992,RES,CLS,811 4th St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,7/19/2019,Compass (COMPS1),445000.0,20001,"811 4th St NW , Washington, DC 20001","(38.90093145, -77.0159238735056)",0
12,12,DCDC435738,RES,CLS,717 Hobart Pl NW,Washington,"Washington, DC",4.0,1-Mar,Twin/Semi-Detached,8/30/2019,Coldwell Banker Residential Brokerage (CBRB52),1300000.0,20001,"717 Hobart Pl NW, Washington, DC 20001","(38.9276637202355, -77.023408016847)",0
13,13,DCDC434592,RES,CLS,1420 10th St NW,Washington,"Washington, DC",2.0,1-Jan,Row/Townhouse,8/23/2019,TTR Sotheby's International Realty (TTRS5),899000.0,20001,"1420 10th St NW, Washington, DC 20001","(38.9093375, -77.0262269034722)",0
14,14,DCDC435162,RES,CLS,26 Randolph Pl NW,Washington,"Washington, DC",3.0,1,Row/Townhouse,8/19/2019,"Long & Foster Real Estate, Inc. (LNG196)",712500.0,20001,"26 Randolph Pl NW, Washington, DC 20001","(38.9132033, -77.0099944516264)",0
15,15,DCDC435066,RES,CLS,400 Massachusetts Ave NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,7/12/2019,Compass (COMPS3),530000.0,20001,"400 Massachusetts Ave NW , Washington, DC 20001","(38.899969, -77.016802)",0
16,16,DCDC433818,RES,CLS,1806 Vermont Ave NW,Washington,"Washington, DC",3.0,1-Feb,Row/Townhouse,8/9/2019,Redfin Corp (REFC3),1129000.0,20001,"1806 Vermont Ave NW, Washington, DC 20001","(38.9150481, -77.0267745769801)",0
17,17,DCDC434962,RES,CLS,19 Randolph Pl NW,Washington,"Washington, DC",3.0,2,Row/Townhouse,7/31/2019,Compass (COMPS1),855000.0,20001,"19 Randolph Pl NW, Washington, DC 20001","(38.91349615, -77.0098779572053)",0
18,18,DCDC434854,RES,CLS,811 4th St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,8/29/2019,"Washington Fine Properties, LLC (WFP3)",479900.0,20001,"811 4th St NW , Washington, DC 20001","(38.90093145, -77.0159238735056)",0
19,19,DCDC434280,RES,CLS,306 P St NW ,Washington,"Washington, DC",2.0,1-Jan,Unit/Flat/Apartment,8/26/2019,"Washington Fine Properties, LLC (WFP1)",469000.0,20001,"306 P St NW , Washington, DC 20001","(38.9094718, -77.0155210755515)",0
20,20,DCDC434848,RES,CLS,537 Gresham Pl NW ,Washington,"Washington, DC",2.0,1-Feb,Row/Townhouse,8/2/2019,"Long & Foster Real Estate, Inc. (LNG194)",635000.0,20001,"537 Gresham Pl NW , Washington, DC 20001","(38.92704395, -77.0216031290834)",0
21,21,DCDC434042,RES,CLS,910 M St NW ,Washington,"Washington, DC",2.0,1-Feb,Unit/Flat/Apartment,8/15/2019,Compass (COMPS1),1100000.0,20001,"910 M St NW , Washington, DC 20001","(38.90516665, -77.0248147491904)",0
22,22,DCDC434666,RES,CLS,118 Thomas St NW ,Washington,"Washington, DC",2.0,1-Feb,Penthouse Unit/Flat/Apartment,8/26/2019,Keller Williams Capital Properties (KWCP1),900000.0,20001,"118 Thomas St NW , Washington, DC 20001","(38.9161475, -77.0128034705428)",0
23,23,DCDC434640,RES,CLS,118 Thomas St NW ,Washington,"Washington, DC",2.0,1-Feb,Unit/Flat/Apartment,8/16/2019,Keller Williams Capital Properties (KWCP1),770000.0,20001,"118 Thomas St NW , Washington, DC 20001","(38.9161475, -77.0128034705428)",0
24,24,DCDC434472,RES,CLS,1603 8th St NW ,Washington,"Washington, DC",2.0,1-Jan,Unit/Flat/Apartment,7/9/2019,Compass (COMPS1),622500.0,20001,"1603 8th St NW , Washington, DC 20001","(38.91132665, -77.0226721494752)",0
25,25,DCDC434384,RES,CLS,768 Harvard St NW,Washington,"Washington, DC",3.0,1-Jan,Row/Townhouse,8/9/2019,Redfin Corp (REFC3),706000.0,20001,"768 Harvard St NW, Washington, DC 20001","(38.92679355, -77.025164719495)",0
26,26,DCDC434172,RES,CLS,757 Fairmont St NW,Washington,"Washington, DC",2.0,2,Row/Townhouse,8/2/2019,Compass (COMPS1),621000.0,20001,"757 Fairmont St NW, Washington, DC 20001","(38.9251858, -77.0246433524704)",0
27,27,DCDC434336,RES,CLS,6 Rhode Island Ave NW ,Washington,"Washington, DC",1.0,1,Penthouse Unit/Flat/Apartment,7/8/2019,TTR Sotheby's International Realty (TTRS5),299000.0,20001,"6 Rhode Island Ave NW , Washington, DC 20001","(38.91636955, -77.0093343430251)",0
28,28,DCDC433612,RES,CLS,44 Bryant St NW,Washington,"Washington, DC",4.0,1-Feb,Row/Townhouse,8/21/2019,RLAH Real Estate (RLAH4),900100.0,20001,"44 Bryant St NW, Washington, DC 20001","(38.9210894, -77.0108876703032)",0
29,29,DCDC433858,RES,CLS,765 Fairmont St NW,Washington,"Washington, DC",2.0,Jan-00,Row/Townhouse,8/15/2019,Coldwell Banker Residential Brokerage (CBRB106),515000.0,20001,"765 Fairmont St NW, Washington, DC 20001","(38.92517085, -77.0248604257733)",0
30,30,DCDC433784,RES,CLS,2030 8th St NW ,Washington,"Washington, DC",1.0,1,Unit/Flat/Apartment,7/17/2019,McEnearney Associates (MCE14),439500.0,20001,"2030 8th St NW , Washington, DC 20001","(38.9175243, -77.02320955)",0
31,31,DCDC433346,RES,CLS,1833 9th St NW,Washington,"Washington, DC",3.0,1-Feb,Twin/Semi-Detached,8/28/2019,Compass (COMPS2),950000.0,20001,"1833 9th St NW, Washington, DC 20001","(38.9206098, -77.0240398)",0
32,32,DCDC433314,RES,CLS,2025 Flagler Pl NW,Washington,"Washington, DC",4.0,1-Feb,Row/Townhouse,7/24/2019,Compass (COMPS1),894800.0,20001,"2025 Flagler Pl NW, Washington, DC 20001","(38.9176604, -77.0133344887641)",0
33,33,DCDC433068,RES,CLS,410 M St NW ,Washington,"Washington, DC",2.0,2,Unit/Flat/Apartment,8/2/2019,"Sunny Day Real Estate, Inc. (SDREI1)",592000.0,20001,"410 M St NW , Washington, DC 20001","(38.9055590295053, -77.0165794793223)",0
34,34,DCDC433162,RES,CLS,443 R St NW,Washington,"Washington, DC",3.0,3,Row/Townhouse,6/27/2019,TTR Sotheby's International Realty (TTRS5),920000.0,20001,"443 R St NW, Washington, DC 20001","(38.912601, -77.0125263)",0
35,35,DCDC433060,RES,CLS,2030 8th St NW ,Washington,"Washington, DC",1.0,Jan-00,Unit/Flat/Apartment,7/26/2019,"Long & Foster Real Estate, Inc. (LNG191)",445000.0,20001,"2030 8th St NW , Washington, DC 20001","(38.9175243, -77.02320955)",0
