,Features,Current Score,New Score,Change
9,Availability of Parks,0.1,0.2,1.0
10,Availability of Pharmacy,0.1,0.1,0.0
12,Safety,0.1,0.1,0.0
13,Public Transportation,0.1,0.1,0.0
16,Child Care,0.1,0.1,0.0
17,Elementary School,0.2,0.30000000000000004,0.5000000000000001
18,Middle School,0.2,0.4,1.0
19,High School,0.1,0.5,4.0
20,Hospital,0.1,0.1,0.0
22,Grocery | Bargain,0.2,0.5,1.4999999999999998
23,Total,1.2999999999999998,2.4000000000000004,0.8461538461538467
24,Rental for Studio,905.0,1951.4,1.156243093922652
25,Rental for 1 Bed,1002.142857,2186.11,1.181435495678038
26,Rental for 2 Beds,1127.0,2778.56,1.4654480922803903
27,Rental for 3 Beds,1308.333333,4034.33,2.0835643319958126
