,Zip Code,year,Structure Type,Current Price
0,20001,2009,Apartment,403898.8181818182
1,20001,2009,Detached,415680.0
2,20001,2009,Other,348750.0
3,20001,2009,Townhouse,412096.61
4,20001,2009,Twin/Semi-Detached,386600.0
5,20001,2010,Apartment,420407.54054054053
6,20001,2010,Detached,484408.3333333333
7,20001,2010,Other,240844.0
8,20001,2010,Townhouse,448182.5565217391
9,20001,2010,Twin/Semi-Detached,448369.3939393939
10,20001,2011,Apartment,414212.87903225806
11,20001,2011,Detached,567300.0
12,20001,2011,Other,583721.4285714285
13,20001,2011,Townhouse,469005.6769911504
14,20001,2011,Twin/Semi-Detached,502176.1395348837
15,20001,2012,Apartment,426979.8253968254
16,20001,2012,Detached,754222.2222222222
17,20001,2012,Garage/Parking Space,58000.0
18,20001,2012,Other,375175.0
19,20001,2012,Townhouse,542816.972027972
20,20001,2012,Twin/Semi-Detached,542220.5588235294
21,20001,2013,Apartment,478621.4631268437
22,20001,2013,Detached,657181.8181818182
23,20001,2013,Garage/Parking Space,52000.0
24,20001,2013,Other,399000.0
25,20001,2013,Townhouse,606329.1954397394
26,20001,2013,Twin/Semi-Detached,722773.3
27,20001,2014,Apartment,530334.3532338309
28,20001,2014,Detached,981571.4285714285
29,20001,2014,Garage/Parking Space,26071.428571428572
30,20001,2014,Other,780186.25
31,20001,2014,Townhouse,683688.2909698996
32,20001,2014,Twin/Semi-Detached,686204.8780487805
33,20001,2015,Apartment,551374.168765743
34,20001,2015,Detached,781000.0
35,20001,2015,Garage/Parking Space,462500.0
36,20001,2015,Other,636464.2857142857
37,20001,2015,Townhouse,761548.2823129252
38,20001,2015,Twin/Semi-Detached,759053.8461538461
39,20001,2016,Apartment,583910.895480226
40,20001,2016,Detached,1185840.9090909092
41,20001,2016,Other,496786.0
42,20001,2016,Townhouse,798424.8598484849
43,20001,2016,Twin/Semi-Detached,811012.9032258064
44,20001,2017,Apartment,620440.3851851852
45,20001,2017,Detached,1130318.1818181819
46,20001,2017,Other,839466.6
47,20001,2017,Townhouse,872245.6170212766
48,20001,2017,Twin/Semi-Detached,953008.9487179487
49,20001,2018,Apartment,596523.7889447237
50,20001,2018,Detached,1052916.6666666667
51,20001,2018,Other,871909.0909090909
52,20001,2018,Townhouse,836371.2578397213
53,20001,2018,Twin/Semi-Detached,864673.7083333334
54,20001,2019,Apartment,597760.0839416059
55,20001,2019,Detached,1008998.3333333334
56,20001,2019,Garage/Parking Space,261000.0
57,20001,2019,Other,615862.5
58,20001,2019,Townhouse,928242.9395348837
59,20001,2019,Twin/Semi-Detached,875352.9411764706
60,20002,2009,Apartment,291232.0535714286
61,20002,2009,Detached,444700.0
62,20002,2009,Other,287975.0
63,20002,2009,Townhouse,386986.9144385027
64,20002,2009,Twin/Semi-Detached,413676.6666666667
65,20002,2010,Apartment,347566.3652173913
66,20002,2010,Detached,436900.8
67,20002,2010,Other,265167.77777777775
68,20002,2010,Townhouse,401338.42910447763
69,20002,2010,Twin/Semi-Detached,480315.3661971831
70,20002,2011,Apartment,306332.6923076923
71,20002,2011,Detached,448502.38095238095
72,20002,2011,Other,272683.3333333333
73,20002,2011,Townhouse,439814.5495145631
74,20002,2011,Twin/Semi-Detached,487098.5
75,20002,2012,Apartment,322784.368
76,20002,2012,Detached,413964.1176470588
77,20002,2012,Other,327928.5714285714
78,20002,2012,Townhouse,493449.93023255817
79,20002,2012,Twin/Semi-Detached,526540.8787878788
80,20002,2013,Apartment,328524.1300813008
81,20002,2013,Detached,574479.1666666666
82,20002,2013,Other,559431.5789473684
83,20002,2013,Townhouse,559275.4287949922
84,20002,2013,Twin/Semi-Detached,618753.84375
85,20002,2014,Apartment,385310.6666666667
86,20002,2014,Detached,573317.6470588235
87,20002,2014,Garage/Parking Space,101500.0
88,20002,2014,Other,326755.8823529412
89,20002,2014,Townhouse,610534.0260416666
90,20002,2014,Twin/Semi-Detached,716488.8205128205
91,20002,2015,Apartment,400963.6354679803
92,20002,2015,Detached,686250.0
93,20002,2015,Other,485349.94444444444
94,20002,2015,Townhouse,660907.850174216
95,20002,2015,Twin/Semi-Detached,705144.6
96,20002,2016,Apartment,436867.67615658365
97,20002,2016,Detached,643514.2857142857
98,20002,2016,Mobile Pre 1976,439000.0
99,20002,2016,Other,962995.0
100,20002,2016,Townhouse,675526.6985074627
101,20002,2016,Twin/Semi-Detached,720883.9666666667
102,20002,2017,Apartment,460750.75
103,20002,2017,Detached,764162.9166666666
104,20002,2017,Other,488269.23076923075
105,20002,2017,Townhouse,715947.9793977813
106,20002,2017,Twin/Semi-Detached,812104.8909090909
107,20002,2018,Apartment,477840.69097222225
108,20002,2018,Detached,818366.875
109,20002,2018,Other,629643.0
110,20002,2018,Townhouse,765166.0772870663
111,20002,2018,Twin/Semi-Detached,786612.0151515151
112,20002,2019,Apartment,502843.49074074073
113,20002,2019,Detached,793505.5555555555
114,20002,2019,Garage/Parking Space,8375.25
115,20002,2019,Other,583598.5
116,20002,2019,Townhouse,831796.0344827586
117,20002,2019,Twin/Semi-Detached,716697.1333333333
118,20003,2009,Apartment,407318.4210526316
119,20003,2009,Detached,844750.0
120,20003,2009,Garage/Parking Space,150000.0
121,20003,2009,Townhouse,564864.0416666666
122,20003,2009,Twin/Semi-Detached,581226.6666666666
123,20003,2010,Apartment,354751.4705882353
124,20003,2010,Detached,938666.6666666666
125,20003,2010,Garage/Parking Space,135000.0
126,20003,2010,Townhouse,624319.633744856
127,20003,2010,Twin/Semi-Detached,638977.380952381
128,20003,2011,Apartment,446930.4032258064
129,20003,2011,Detached,849271.4285714285
130,20003,2011,Other,465571.4285714286
131,20003,2011,Townhouse,593497.7937219731
132,20003,2011,Twin/Semi-Detached,662732.78
133,20003,2012,Apartment,385649.72164948453
134,20003,2012,Detached,851625.0
135,20003,2012,Garage/Parking Space,147250.0
136,20003,2012,Other,475360.0
137,20003,2012,Townhouse,662031.3347280335
138,20003,2012,Twin/Semi-Detached,846746.3333333334
139,20003,2013,Apartment,396839.8
140,20003,2013,Detached,856555.5555555555
141,20003,2013,Garage/Parking Space,178250.0
142,20003,2013,Other,811125.0
143,20003,2013,Townhouse,741371.33203125
144,20003,2013,Twin/Semi-Detached,801534.6842105263
145,20003,2014,Apartment,403740.5984848485
146,20003,2014,Detached,709566.6666666666
147,20003,2014,Other,565750.4
148,20003,2014,Townhouse,738101.2062256809
149,20003,2014,Twin/Semi-Detached,865120.7627118644
150,20003,2015,Apartment,446774.2865497076
151,20003,2015,Detached,883549.9090909091
152,20003,2015,Other,585000.0
153,20003,2015,Townhouse,813497.6622073578
154,20003,2015,Twin/Semi-Detached,854367.5555555555
155,20003,2016,Apartment,445586.27972027974
156,20003,2016,Detached,845190.625
157,20003,2016,Garage/Parking Space,128750.0
158,20003,2016,Other,804950.0
159,20003,2016,Townhouse,847228.2780082987
160,20003,2016,Twin/Semi-Detached,965764.9032258064
161,20003,2017,Apartment,452664.9536423841
162,20003,2017,Detached,1435979.1538461538
163,20003,2017,Other,894833.3333333334
164,20003,2017,Townhouse,893888.1418918918
165,20003,2017,Twin/Semi-Detached,1081894.4042553192
166,20003,2018,Apartment,508239.9266055046
167,20003,2018,Detached,1089230.7692307692
168,20003,2018,Other,787701.6666666666
169,20003,2018,Townhouse,933650.5494505494
170,20003,2018,Twin/Semi-Detached,993845.7627118644
171,20003,2019,Apartment,552097.5968992248
172,20003,2019,Detached,775953.3333333334
173,20003,2019,Garage/Parking Space,110000.0
174,20003,2019,Other,354000.0
175,20003,2019,Townhouse,978116.1393034826
176,20003,2019,Twin/Semi-Detached,1107692.3076923077
177,20004,2009,Apartment,465885.96153846156
178,20004,2009,Other,325000.0
179,20004,2010,Apartment,498523.07843137253
180,20004,2010,Other,345000.0
181,20004,2011,Apartment,474536.3409090909
182,20004,2012,Apartment,459155.76923076925
183,20004,2013,Apartment,531973.6545454545
184,20004,2014,Apartment,500279.81666666665
185,20004,2014,Other,1004500.0
186,20004,2015,Apartment,598087.5
187,20004,2016,Apartment,541645.0
188,20004,2016,Other,358000.0
189,20004,2016,Townhouse,637000.0
190,20004,2017,Apartment,547892.2
191,20004,2018,Apartment,559975.7333333333
192,20004,2018,Other,449900.0
193,20004,2019,Apartment,564633.695652174
194,20005,2009,Apartment,440872.2361111111
195,20005,2009,Townhouse,587787.5
196,20005,2009,Twin/Semi-Detached,370000.0
197,20005,2010,Apartment,466537.21794871794
198,20005,2010,Detached,812750.0
199,20005,2010,Other,446666.6666666667
200,20005,2010,Townhouse,623247.3548387097
201,20005,2010,Twin/Semi-Detached,379268.5714285714
202,20005,2011,Apartment,484829.5811965812
203,20005,2011,Detached,424500.0
204,20005,2011,Other,42500.0
205,20005,2011,Townhouse,655750.0
206,20005,2011,Twin/Semi-Detached,887562.75
207,20005,2012,Apartment,473527.0425531915
208,20005,2012,Detached,374900.0
209,20005,2012,Garage/Parking Space,35860.0
210,20005,2012,Other,416460.0
211,20005,2012,Townhouse,650706.16
212,20005,2012,Twin/Semi-Detached,682500.0
213,20005,2013,Apartment,530086.2512562814
214,20005,2013,Detached,764999.8
215,20005,2013,Other,594133.3333333334
216,20005,2013,Townhouse,767133.3333333334
217,20005,2013,Twin/Semi-Detached,688000.0
218,20005,2014,Apartment,549221.8313953489
219,20005,2014,Detached,1373666.6666666667
220,20005,2014,Other,745000.0
221,20005,2014,Townhouse,1058974.4583333333
222,20005,2014,Twin/Semi-Detached,497000.0
223,20005,2015,Apartment,514565.6132596685
224,20005,2015,Other,664666.3333333334
225,20005,2015,Townhouse,973026.6666666666
226,20005,2016,Apartment,538005.1340206185
227,20005,2016,Detached,1274500.0
228,20005,2016,Other,373475.0
229,20005,2016,Townhouse,857996.2962962963
230,20005,2016,Twin/Semi-Detached,465000.0
231,20005,2017,Apartment,582025.7393162394
232,20005,2017,Detached,1707500.0
233,20005,2017,Townhouse,1023350.4347826086
234,20005,2017,Twin/Semi-Detached,1366800.0
235,20005,2018,Apartment,590084.2794759825
236,20005,2018,Detached,899000.0
237,20005,2018,Garage/Parking Space,57500.0
238,20005,2018,Other,487270.0
239,20005,2018,Townhouse,1098230.0
240,20005,2018,Twin/Semi-Detached,1664500.0
241,20005,2019,Apartment,581263.4307692308
242,20005,2019,Garage/Parking Space,52000.0
243,20005,2019,Other,1473333.3333333333
244,20005,2019,Townhouse,881033.3333333334
245,20006,2009,Apartment,226500.0
246,20006,2010,Apartment,188750.0
247,20006,2011,Apartment,202000.0
248,20006,2012,Apartment,242062.5
249,20006,2013,Apartment,252142.85714285713
250,20006,2013,Garage/Parking Space,30000.0
251,20006,2014,Apartment,263142.85714285716
252,20006,2015,Apartment,215285.7142857143
253,20006,2016,Apartment,246950.0
254,20006,2016,Garage/Parking Space,40000.0
255,20006,2017,Apartment,246312.5
256,20006,2018,Apartment,250928.57142857142
257,20006,2019,Apartment,281166.6666666667
258,20006,2019,Garage/Parking Space,42000.0
259,20006,2019,Other,245000.0
260,20007,202009,Apartment,492438.7755102041
261,20007,202009,Detached,1307576.8095238095
262,20007,202009,Other,740833.3333333334
263,20007,202009,Townhouse,926627.82
264,20007,202009,Twin/Semi-Detached,1388600.0
265,20007,202010,Apartment,730778.1953125
266,20007,202010,Detached,1851695.0
267,20007,202010,Other,842354.5454545454
268,20007,202010,Townhouse,1040250.2848101265
269,20007,202010,Twin/Semi-Detached,1496162.7906976745
270,20007,202011,Apartment,593436.3384615384
271,20007,202011,Detached,1810431.5972222222
272,20007,202011,Garage/Parking Space,85000.0
273,20007,202011,Other,314000.0
274,20007,202011,Townhouse,1049523.366013072
275,20007,202011,Twin/Semi-Detached,1508081.8181818181
276,20007,202012,Apartment,523390.42
277,20007,202012,Detached,2020432.1466666667
278,20007,202012,Garage/Parking Space,13500.0
279,20007,202012,Other,546250.0
280,20007,202012,Townhouse,1108873.2159090908
281,20007,202012,Twin/Semi-Detached,1201780.1896551724
282,20007,202013,Apartment,587195.594059406
283,20007,202013,Detached,2174052.722222222
284,20007,202013,Garage/Parking Space,70000.0
285,20007,202013,Other,728625.0
286,20007,202013,Townhouse,1236706.2032967033
287,20007,202013,Twin/Semi-Detached,1664764.6551724137
288,20007,202014,Apartment,773194.1027027027
289,20007,202014,Detached,2258416.037037037
290,20007,202014,Garage/Parking Space,58928.57142857143
291,20007,202014,Other,989000.0
292,20007,202014,Townhouse,1285483.4644808744
293,20007,202014,Twin/Semi-Detached,1795564.6739130435
294,20007,202015,Apartment,624127.1630434783
295,20007,202015,Detached,1915145.9206349207
296,20007,202015,Garage/Parking Space,45000.0
297,20007,202015,Other,3503200.0
298,20007,202015,Townhouse,1274904.3819095478
299,20007,202015,Twin/Semi-Detached,1893648.8372093022
300,20007,202016,Apartment,509692.6538461539
301,20007,202016,Detached,1877646.1126760563
302,20007,202016,Other,2325500.0
303,20007,202016,Townhouse,1260332.3181818181
304,20007,202016,Twin/Semi-Detached,1619333.017857143
305,20007,202017,Apartment,670559.0
306,20007,202017,Detached,2175515.472972973
307,20007,202017,Garage/Parking Space,42500.0
308,20007,202017,Other,463600.0
309,20007,202017,Townhouse,1399643.550802139
310,20007,202017,Twin/Semi-Detached,1578510.4791666667
311,20007,202018,Apartment,633711.5326633166
