,Features,Current Score,New Score,Change
9,Availability of Parks,0.1,0.5,4.0
10,Availability of Pharmacy,0.1,0.4,3.0000000000000004
12,Safety,0.1,0.2,1.0
13,Public Transportation,0.1,0.2,1.0
16,Child Care,0.1,0.4,3.0000000000000004
17,Elementary School,0.2,0.30000000000000004,0.5000000000000001
18,Middle School,0.2,0.1,-0.5
19,High School,0.1,0.1,0.0
20,Hospital,0.1,0.1,0.0
22,Grocery | Bargain,0.2,0.4,1.0
23,Total,1.2999999999999998,2.7,1.0769230769230773
24,Rental for Studio,905.0,1649.625,0.8227900552486188
25,Rental for 1 Bed,1002.142857,1831.1,0.82718460467957
26,Rental for 2 Beds,1127.0,2331.1,1.0684117125110912
27,Rental for 3 Beds,1308.333333,4361.0,2.333248408492547
