MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC439802,RES,CLS,1512 Marion St NW #205,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,EJF Real Estate Services (EJF1),282500
DCDC438196,RES,CLS,820 Kennedy St NW #4,Washington,"Washington, DC",3,3,Unit/Flat/Apartment,8/1/2019,Non Subscribing Office (NON1),610000
DCDC439242,RES,CLS,411 P St NW,Washington,"Washington, DC",3,3,Row/Townhouse,8/21/2019,RE/MAX Allegiance (RMAX20),900000
DCDC437216,RES,CLS,1415 10th St NW #2,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/30/2019,Compass (COMPS2),854500
DCDC437676,RES,CLS,1507 3rd St NW,Washington,"Washington, DC",2,2,Row/Townhouse,8/29/2019,Compass (COMPS1),780000
DCDC100345,RES,CLS,555 Massachusetts Ave NW #617,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/27/2019,Redfin Corp (REFC3),521000
DCDC100025,RES,CLS,910 M St NW #305,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/22/2019,Samson Properties (SAMP14),576000
DCDC436990,RES,CLS,126 Thomas St NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/29/2019,"Long & Foster Real Estate, Inc. (LNG147)",899126
DCDC436908,RES,CLS,1924 2nd St NW,Washington,"Washington, DC",4,1-Jan,Row/Townhouse,8/9/2019,Fairfax Realty Elite (FXR4),725000
DCDC436262,RES,CLS,1815 6th St NW #2,Washington,"Washington, DC",2,2,Row/Townhouse,8/29/2019,TTR Sotheby's International Realty (TTRS2),870000
DCDC436212,RES,CLS,437 New York Ave NW #811,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,"Long & Foster Real Estate, Inc. (LNG1)",329000
DCDC435992,RES,CLS,811 4th St NW #515,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/19/2019,Compass (COMPS1),445000
DCDC435738,RES,CLS,717 Hobart Pl NW,Washington,"Washington, DC",4,1-Mar,Twin/Semi-Detached,8/30/2019,Coldwell Banker Residential Brokerage (CBRB52),1300000
DCDC434592,RES,CLS,1420 10th St NW,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/23/2019,TTR Sotheby's International Realty (TTRS5),899000
DCDC435162,RES,CLS,26 Randolph Pl NW,Washington,"Washington, DC",3,1,Row/Townhouse,8/19/2019,"Long & Foster Real Estate, Inc. (LNG196)",712500
DCDC435066,RES,CLS,400 Massachusetts Ave NW #1223,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/12/2019,Compass (COMPS3),530000
DCDC433818,RES,CLS,1806 Vermont Ave NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/9/2019,Redfin Corp (REFC3),1129000
DCDC434962,RES,CLS,19 Randolph Pl NW,Washington,"Washington, DC",3,2,Row/Townhouse,7/31/2019,Compass (COMPS1),855000
DCDC434854,RES,CLS,811 4th St NW #802,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,"Washington Fine Properties, LLC (WFP3)",479900
DCDC434280,RES,CLS,306 P St NW #1,Washington,"Washington, DC",2,1-Jan,Unit/Flat/Apartment,8/26/2019,"Washington Fine Properties, LLC (WFP1)",469000
DCDC434848,RES,CLS,537 Gresham Pl NW #Ph2,Washington,"Washington, DC",2,1-Feb,Row/Townhouse,8/2/2019,"Long & Foster Real Estate, Inc. (LNG194)",635000
DCDC434042,RES,CLS,910 M St NW #1016,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,8/15/2019,Compass (COMPS1),1100000
DCDC434666,RES,CLS,118 Thomas St NW #2,Washington,"Washington, DC",2,1-Feb,Penthouse Unit/Flat/Apartment,8/26/2019,Keller Williams Capital Properties (KWCP1),900000
DCDC434640,RES,CLS,118 Thomas St NW #1,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,8/16/2019,Keller Williams Capital Properties (KWCP1),770000
DCDC434472,RES,CLS,1603 8th St NW #A,Washington,"Washington, DC",2,1-Jan,Unit/Flat/Apartment,7/9/2019,Compass (COMPS1),622500
DCDC434384,RES,CLS,768 Harvard St NW,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/9/2019,Redfin Corp (REFC3),706000
DCDC434172,RES,CLS,757 Fairmont St NW,Washington,"Washington, DC",2,2,Row/Townhouse,8/2/2019,Compass (COMPS1),621000
DCDC434336,RES,CLS,6 Rhode Island Ave NW #1,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,7/8/2019,TTR Sotheby's International Realty (TTRS5),299000
DCDC433612,RES,CLS,44 Bryant St NW,Washington,"Washington, DC",4,1-Feb,Row/Townhouse,8/21/2019,RLAH Real Estate (RLAH4),900100
DCDC433858,RES,CLS,765 Fairmont St NW,Washington,"Washington, DC",2,Jan-00,Row/Townhouse,8/15/2019,Coldwell Banker Residential Brokerage (CBRB106),515000
