MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC440186,RES,CLS,1712 Taylor St NW,Washington,"Washington, DC",5,2-Mar,Detached,8/29/2019,TTR Sotheby's International Realty (TTRS2),1040000.00
DCDC439586,RES,CLS,902 Webster St NW,Washington,"Washington, DC",4,1-Mar,Twin/Semi-Detached,8/27/2019,S&G Realty (SAGG1),650000.00
DCDC437720,RES,CLS,4408 Illinois Ave NW,Washington,"Washington, DC",3,2,Detached,8/2/2019,Non Subscribing Office (NON1),735000.00
DCDC437270,RES,CLS,821 Tuckerman St NW,Washington,"Washington, DC",3,Jan-00,Twin/Semi-Detached,8/28/2019,"Ivan Brown Realty, Inc. (IVAN1)",500000.00
DCDC436846,RES,CLS,15 Grant Cir NW #1,Washington,"Washington, DC",2,1-Feb,Row/Townhouse,8/29/2019,TTR Sotheby's International Realty (TTRS5),545000.00
DCDC434580,RES,CLS,1024 Hamilton St NE,Washington,"Washington, DC",3,1-Jan,End of Row/Townhouse,8/28/2019,Keller Williams Realty (KWR4),475000.00
DCDC436778,RES,CLS,423 Rittenhouse St NW,Washington,"Washington, DC",4,1-Feb,Detached,8/22/2019,"Long & Foster Real Estate, Inc. (LNG150)",638500.00
DCDC436822,RES,CLS,4924 5th St NW,Washington,"Washington, DC",5,1-Mar,Row/Townhouse,8/30/2019,"Long & Foster Real Estate, Inc. (LNG183)",938000.00
DCDC436496,RES,CLS,122 Victor St NE,Washington,"Washington, DC",3,2,Twin/Semi-Detached,8/29/2019,"Continental Properties, Ltd. (CPRE1)",474900.00
DCDC436450,RES,CLS,738 Longfellow St NW #211,Washington,"Washington, DC",2,Jan-00,Unit/Flat/Apartment,8/14/2019,KW Metro Center (KWR17),275000.00
DCDC436076,RES,CLS,503 Madison St NE,Washington,"Washington, DC",3,1-Jan,Twin/Semi-Detached,8/30/2019,Coldwell Banker Residential Brokerage (CBRB52),426540.00
DCDC435806,RES,CLS,16 Farragut Pl NW,Washington,"Washington, DC",3,2,Row/Townhouse,8/7/2019,TTR Sotheby's International Realty (TTRS4),575000.00
DCDC435876,RES,CLS,5237 Kansas Ave NW,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,8/23/2019,Compass (COMPS2),685000.00
DCDC435878,RES,CLS,1206 Ingraham St NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,8/2/2019,"EXP Realty, LLC. (EXPY1)",779900.00
DCDC435284,RES,CLS,4618 Kansas Ave NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,8/21/2019,Redfin Corp (REFC3),887000.00
DCDC435498,RES,CLS,818 Kennedy St NW,Washington,"Washington, DC",1,1-Jan,Row/Townhouse,8/30/2019,Compass (COMPS2),870000.00
DCDC435328,RES,CLS,5622 13th St NW,Washington,"Washington, DC",0,/0,Row/Townhouse,8/23/2019,"Long & Foster Real Estate, Inc. (LNG194)",575000.00
DCDC435322,RES,CLS,1719 Shepherd St NW,Washington,"Washington, DC",3,2-Feb,Detached,8/20/2019,Compass (COMPS2),1025000.00
DCDC435254,RES,CLS,1383 Somerset Pl NW,Washington,"Washington, DC",4,3,Detached,8/9/2019,Supreme Properties Realty & Referral Co (SUPP1),589000.00
DCDC434810,RES,CLS,203 Sheridan St NW,Washington,"Washington, DC",4,1-Mar,Detached,8/15/2019,TTR Sotheby's International Realty (TTRS4),719000.00
DCDC434952,RES,CLS,3812 13th St NW #1,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,8/15/2019,Compass (COMPS1),777500.00
DCDC434386,RES,CLS,1419 Shepherd St NW #2,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/9/2019,Keller Williams Capital Properties (KWCP1),659000.00
DCDC434724,RES,CLS,4008 Marlboro Pl NW,Washington,"Washington, DC",4,1-Mar,End of Row/Townhouse,8/20/2019,"McEnearney Associates, Inc. (MCE7)",915000.00
DCDC432474,RES,CLS,610 Longfellow St NW #303,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/31/2019,Compass (COMPS1),210000.00
DCDC434114,RES,CLS,621 Farragut St NW,Washington,"Washington, DC",2,1,Row/Townhouse,8/1/2019,Compass (COMPS1),550000.00
DCDC434552,RES,CLS,23 Rock Creek Church Rd NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/16/2019,Redfin Corp (REFC3),715000.00
DCDC434358,RES,CLS,4415 7th St NW,Washington,"Washington, DC",3,3,Detached,8/15/2019,"Long & Foster Real Estate, Inc. (LNG194)",735000.00
DCDC434260,RES,CLS,1008 Rittenhouse St NW #16,Washington,"Washington, DC",4,1-Feb,Unit/Flat/Apartment,8/19/2019,The ONE Street Company (ONERE1),475000.00
DCDC433912,RES,CLS,3916 Kansas Ave NW,Washington,"Washington, DC",5,1-Apr,Row/Townhouse,7/26/2019,Exit Deluxe Realty (EXDR2),1025000.00
DCDC433620,RES,CLS,5305 3rd St NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,7/19/2019,Compass (COMPS1),735000.00
DCDC433788,RES,CLS,1380 Quincy St NW #5A,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/16/2019,"Long & Foster Real Estate, Inc. (LNG44)",570000.00
DCDC433710,RES,CLS,12 Nicholson St NW,Washington,"Washington, DC",4,4,Detached,8/21/2019,RE/MAX Realty Services (RBE3),690000.00
DCDC433702,RES,CLS,4424 1st Pl NE #22,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/19/2019,EXIT Right Realty (EXRT1),180500.00
DCDC433574,RES,CLS,200 Hamilton St NW #4,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/31/2019,I-Agent Realty Incorporated (IAGR1),405000.00
DCDC431298,RES,CLS,820 Kennedy St NW #3,Washington,"Washington, DC",3,3,Unit/Flat/Apartment,8/23/2019,RLAH Real Estate (RLAH1),610000.00
DCDC432748,RES,CLS,5711 Colorado Ave NW,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,8/8/2019,RE/MAX Allegiance (RMAX20),632500.00
DCDC433138,RES,CLS,738 Jefferson St NE,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,8/13/2019,Keller Williams Capital Properties (KWCP1),560000.00
