MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC100323,RES,CLS,1673 Park Rd NW #505,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/1/2019,Compass (COMPS2),376000.00
DCDC437068,RES,CLS,1722 Irving St NW,Washington,"Washington, DC",5,1-Mar,Row/Townhouse,7/30/2019,Compass (COMPS9),1240000.00
DCDC436514,RES,CLS,809 Otis Pl NW #303,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/23/2019,RLAH Real Estate (RLAH2),395000.00
DCDC436788,RES,CLS,522 Irving St NW,Washington,"Washington, DC",3,3,Row/Townhouse,7/31/2019,REMAX Platinum Realty (RXPT1),669000.00
DCDC436498,RES,CLS,3220 17th St NW #307,Washington,"Washington, DC",2,2,Penthouse Unit/Flat/Apartment,8/27/2019,"Washington Fine Properties, LLC (WFP1)",652000.00
DCDC435714,RES,CLS,1354 Kenyon St NW #4,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/19/2019,RLAH Real Estate (RLAH4),349900.00
DCDC435606,RES,CLS,1360 Kenyon St NW #1,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/28/2019,TTR Sotheby's International Realty (TTRS5),595000.00
DCDC434240,RES,CLS,1495 Newton St NW #405,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/28/2019,RLAH Real Estate (RLAH2),350000.00
DCDC435282,RES,CLS,3612 Park Pl NW #Ph-B,Washington,"Washington, DC",3,2,Row/Townhouse,8/15/2019,Compass (COMPS1),879000.00
DCDC435172,RES,CLS,1726 Irving St NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/9/2019,United Real Estate HomeSource (RECU1),800000.00
DCDC435102,RES,CLS,3123 Adams Mill Rd NW,Washington,"Washington, DC",4,2,Row/Townhouse,7/12/2019,TTR Sotheby's International Realty (TTRS4),925000.00
DCDC434676,RES,CLS,442 Luray Pl NW,Washington,"Washington, DC",4,1-Feb,End of Row/Townhouse,8/1/2019,Compass (COMPS1),840000.00
DCDC434912,RES,CLS,1005 Quebec Pl NW,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/30/2019,Compass (COMPS2),740000.00
DCDC434956,RES,CLS,1362 Perry Pl NW #1,Washington,"Washington, DC",2,2,Row/Townhouse,8/26/2019,TTR Sotheby's International Realty (TTRS5),553000.00
DCDC434690,RES,CLS,1759 Lamont St NW,Washington,"Washington, DC",5,1-Mar,Row/Townhouse,7/26/2019,TTR Sotheby's International Realty (TTRS5),1615000.00
DCDC434500,RES,CLS,3540 Hertford Pl NW,Washington,"Washington, DC",3,2,End of Row/Townhouse,8/28/2019,Compass (COMPS6),550000.00
DCDC434382,RES,CLS,1437 Spring Rd NW #34,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,Keller Williams Capital Properties (KWCP1),353000.00
DCDC434450,RES,CLS,529 Lamont St NW #306,Washington,"Washington, DC",3,1,Unit/Flat/Apartment,8/13/2019,"Jackson B. Prentice Real Estate Services, LLC (JACP1)",483500.00
DCDC434192,RES,CLS,1454 Newton St NW #401,Washington,"Washington, DC",2,Feb-00,Row/Townhouse,8/8/2019,Crossman & Co. Real Estate LLC (CRSM1),410000.00
DCDC433992,RES,CLS,1390 Kenyon St NW #418,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/31/2019,XRealty.NET LLC (XRN1),383000.00
DCDC433792,RES,CLS,739 Newton Pl NW #103,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/31/2019,Donna Kerr Group (DKG1),481000.00
DCDC433534,RES,CLS,1390 Kenyon St NW #705,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/23/2019,TTR Sotheby's International Realty (TTRS5),620000.00
DCDC433008,RES,CLS,3532 New Hampshire Ave NW,Washington,"Washington, DC",3,1-Feb,End of Row/Townhouse,8/23/2019,TTR Sotheby's International Realty (TTRS5),1000000.00
DCDC433216,RES,CLS,1440 Newton St NW #2,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,8/28/2019,McWilliams/Ballard Inc. (MCWB1),955000.00
DCDC432816,RES,CLS,1754 Kilbourne Pl NW,Washington,"Washington, DC",4,1-Feb,Row/Townhouse,7/24/2019,Compass (COMPS1),1310000.00
DCDC432872,RES,CLS,1457 Park Rd NW #507,Washington,"Washington, DC",0,Jan-00,Unit/Flat/Apartment,7/22/2019,RLAH Real Estate (RLAH1),200000.00
DCDC432814,RES,CLS,3404 Warder St NW,Washington,"Washington, DC",4,2,Row/Townhouse,6/25/2019,Compass (COMPS3),740000.00
DCDC431986,RES,CLS,3610 Rock Creek Church Rd NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,7/29/2019,Redfin Corp (REFC2),860000.00
DCDC431778,RES,CLS,3504 13th St NW #5,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/8/2019,Compass (COMPS1),265500.00
DCDC431382,RES,CLS,1615 Kenyon St NW #4,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/30/2019,Keller Williams Capital Properties (KWCP5),421000.00
DCDC432230,RES,CLS,3408 13th St NW,Washington,"Washington, DC",4,2-Feb,Row/Townhouse,7/19/2019,"Washington Fine Properties, LLC (WFP1)",870000.00
DCDC432298,RES,CLS,620 Rock Creek Church Rd NW #2,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,7/26/2019,Compass (COMPS2),850000.00
DCDC432290,RES,CLS,620 Rock Creek Church Rd NW #1,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/19/2019,Compass (COMPS2),750000.00
DCDC431694,RES,CLS,1495 Newton St NW #B102,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/15/2019,Keller Williams Capital Properties (KWCP2),345000.00
DCDC431458,RES,CLS,3515 Hertford Pl NW #2,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/29/2019,"Urban Land Company, LLC (ULC1)",305000.00
DCDC431150,RES,CLS,1344 Oak St NW,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,7/3/2019,Compass (COMPS2),895000.00
DCDC431156,RES,CLS,725 Kenyon St NW #A,Washington,"Washington, DC",3,1-Feb,Unit/Flat/Apartment,8/16/2019,Keller Williams Realty (KWR14),940000.00
DCDC430722,RES,CLS,3223 13th St NW,Washington,"Washington, DC",6,1-Apr,Row/Townhouse,7/19/2019,Fairfax Realty of Tysons (FRX2),1299000.00
