Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_City,Dir_State,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,Dir_Phone,Dir_Fax,Dir_Website,Principal_Name,Principal_Email,GR_Text,Hours,Highlight,Aca_Enr_1,Aca_Enr_2,Aca_Enr_3,Aca_Enr_4,Aca_Enr_5,Well_Fit_1,Well_Fit_2,Well_Fit_3,Well_Fit_4,Well_Fit_5,Art_Cult_1,Art_Cult_2,Art_Cult_3,Art_Cult_4,Art_Cult_5,SPED_1,SPED_2,SPED_3,SPED_4,SPED_5,SPED_6,Feed_1,Feed_2,Feed_3,Feed_4,Feed_5,Feed_6,Feed_7,Dest_1,Dest_2,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Offers_Guaranteed_PK3_PK4_Slots?,Family_Active_Parent_Org,Partner_1,Partner_2,Partner_3,Partner_4,Partner_5,Partner_6,Partner_7,Partner_8,Partner_9,Partner_10,Car_Path_1,Car_Path_2,Car_Path_3,Car_Path_4,Car_Path_5,Car_Path_6,Car_Path_7,Car_Path_8,Trans_Bus,Trans_Metro,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,DCPS_Recycles_Honor_Roll?,LEED_Level,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Prog_Growth_Math_Current_Year,Prog_Growth_Math_Prior_Year,Prog_Growth_Math_District_Average,Prog_Growth_Read_Current_Year,Prog_Growth_Read_Prior_Year,Prog_Growth_Read_District_Average,Prog_9thGrade_Current_Year,Prog_9thGrade_Prior_Year,Prog_9thGrade_District_Average,Safe_ISA_Current_Year,Safe_ISA_Prior_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Safe_Reenroll_Current_Year,Safe_Reenroll_Prior_Year,Safe_Reenroll_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average,Unique_Defined1_Metric,Unique_Defined1_Description,Unique_Defined1_Current_Year,Unique_Defined1_Prior_Year,Unique_Defined1_District,Unique_Defined2_Metric,Unique_Defined2_Description,Unique_Defined2_Current_Year,Unique_Defined2_Prior_Year,Unique_Defined2_District
Aiton Elementary School,202,533 48th Pl. NE,Washington,DC,20019,-76.93370092,38.89700181,7,(202) 671-6060,(202) 724-4630,http://profiles.dcps.dc.gov/Aiton+Elementary+School,Malaika Golden,malaika.golden@dc.gov,PK3-5th,Mon-Fri 8:15 a.m.- 3:15 p.m.,"Aiton Elementary School is a community of learners made up of staff, parents and student stakeholders. We are committed to providing all children with a rigorous, differentiated academic program that will enable them to be successful in middle school and beyond. We offer extended day for PK through 5th grades and aftercare program. Aiton also offers variety of extracurricular activities such as, Soccer, Tennis, and Girl Scouts.",Three and Four Year Old Program,"Blended Learning: Lexia, Waggle, ST Math",Reading Partners,Creative Curriculum,Americorps: Reading Corps and Experience Corps,Cheerleading,Boys & Girls Basketball,Soccer,Tennis,Flag Football,Live It Learn It,US Attorney's Office of DC,Embassy Adoption Program,World Language Spanish,,Early Learning Support,,,,,,,,,,,,,421,,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,Redksins Read,Howard University,TEFCU,Higher Achievement,Deloitte Consulting LLP,Kiwanis Club,US Attorney's Office of DC,,,,,,,,,,,,U5 U6 V2 V4 W4 X9,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",67,,,251,0%,100%,0%,0%,0%,0%,0%,0%,16%,100%,42%,25%,33%,36%,32%,21%,22%,19%,14%,0%,0%,23%,27%,23%,23%,5%,41%,51%,26%,23%,21%,21%,12%,4%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,70%,51%,61%,45%,54%,NA,NA,NA,90%,94%,93%,21%,5%,13%,5%,7%,4%,0%,0%,0%,94%,95%,85%,100%,99%,89%,71%,79%,81%,NA,85%,92%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,22%,42%,21%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,46%,30%,35%
Amidon-Bowen Elementary School,203,401 I St. SW,Washington,DC,20024,-77.0181253,38.8795154,6,(202) 724-4867,(202) 724-4868,profiles.dcps.dc.gov/amidon-bowen+elementary+school,TaMikka Sykes,tamikka.sykes@dc.gov,PK3-5th,8:30 a.m. - 3:15 p.m.,"Citizenship Achievement Respect - Drive the CAR the Amidon-Bowen Way!  We help our students maximize their potential by providing a safe and nurturing environment that recognizes the individual needs of every student and encourages their academic, social and emotional development. At Amidon-Bowen, we set high expectations for our students' success and then provide them with the tools to achieve it. We have dedicated faculty and staff at Amidon-Bowen and our students say that they enjoy the special attention they receive in their caring and supportive classrooms.",Everybody Wins! Power Lunch,Tools of the Mind (Three and Four-Year-Old Program),STEM,National Defense University Industrial College of The Armed Forces Tutoring and Mentoring,FBI Junior Achievement and FBI Mentoring Program,Basketball,Track,Soccer,Cheerleading,Kickball,Library,Art Club,Gardening Club,,,Early Learning Support,Specific Learning Support,,,,,,,,,,,,433,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,DC United-DC SCORES,Edgewood-Brookland Family Support Collaborative,Everybody Wins! DC,Federal Bureau of Investigation,Fort McNair/Henderson Hall National Defense University,Near Southeast Community Partners,Southwest Neighborhood Assembly (SWNA),The Washington Nationals,The Wharf,Westminster Church,,,,,,,,,74 A9 P6 V1 W9,Green Line: Waterfront-SEU Station,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",45,,,350,2%,88%,4%,0%,5%,1%,0%,1%,23%,100%,41%,53%,44%,25%,28%,16%,16%,5%,11%,1%,1%,23%,27%,23%,23%,5%,47%,50%,26%,26%,17%,16%,10%,9%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,29%,35%,51%,45%,33%,54%,NA,NA,NA,94%,92%,93%,7%,7%,13%,8%,15%,4%,0%,0%,0%,80%,74%,85%,88%,80%,89%,85%,82%,81%,92%,92%,92%,,,,,,,,,,
Bancroft Elementary School @ Sharpe,204,4300 13th St NW,Washington,DC,20011,-77.03121,38.94344,1,(202) 673-7280,(202) 673-6991,bancroftelementary.org,Arthur Mola,arthur.mola@dc.gov,PK3-5th,8:45 a.m. - 3:30 p.m.,"At Bancroft Elementary School, our mission is to meet the educational, developmental and social needs of all students, inspiring and enabling them to reach their full potential in and beyond elementary school. We are guided in this work by our vision for Bancroft to be a diverse and vibrant community of learners preparing all students to be high-achieving, bilingual global citizens who lead in the 21st century. As a community of learners which includes students, families, teachers and staff, we are committed to working together to ensure all our students achieve at high levels through a rigorous dual language program which promotes biliteracy and bilingualism. All this is done in a compassionate, safe and nurturing environment where diversity and self-expression are valued and celebrated.",Dual language (Spanish/English) instruction,Omit,Tools of the Mind Curriculum for Pre-K and Kindergarten,Young Playwrights' Theater for 4th graders,Asian American Lead After School Program for K-5th,DC Scores,Girls on the Run (GOTR),Omit,Junior Champion Tennis Center/USTA,Common Threads (nutrition),Dual language (Spanish/English) instruction,Drama Club,Chorus,Drumming,Gardening,Early Learning Support,,,,,,,,,,,,,405,420,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,Asian American Lead,Marys Center,Briya Public Charter School,Bancroft PTO,,,,,,,,,,,,,,,52 53 54 60 62 63 70 79 D33 S1 S2 S4 S9 W45,Green/Yellow Lines: Columbia Heights Metro Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,47,Yes with Distinction,,530,6%,8%,68%,0%,17%,1%,0%,48%,11%,100%,58%,20%,16%,26%,24%,25%,29%,23%,25%,5%,5%,23%,27%,23%,23%,5%,27%,26%,19%,28%,27%,26%,22%,19%,5%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,39%,57%,51%,53%,58%,54%,NA,NA,NA,96%,96%,93%,2%,1%,13%,2%,1%,4%,0%,0%,0%,89%,90%,85%,96%,94%,89%,94%,95%,81%,96%,96%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,35%,47%,35%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,20%,31%,21%
Barnard Elementary School,205,430 Decatur St. NW,Washington,DC,20011,-77.01777708,38.94823095,4,(202) 576-1100,(202) 541-6010,profiles.dcps.dc.gov/Barnard+Elementary+School,Grace Reid,grace.reid@dc.gov,PK3-5th,8:00 a.m. - 3:15 p.m.,"Our School motto is Only The Best Is Good Enough. Our strong community involvement and dedicated staff are reasons that Barnard has been recognized twice with the Together Everyone Achieves More (TEAM) Award. High expectations for all students resulting in academic excellence are central to Barnard's philosophy. We have strong programs that appeal to our students, like our Early Financial Literacy program that teaches age-appropriate financial skills. Barnard also hosts the Flagship Autism Program for DCPS, and students from all over the city are enrolled in this program. One of our parents summarized it best: Barnard accepts all children where they are and takes them to unbelievable levels!",Pre-School (Three-Year-Old Program),Pre-School (Four-Year-Old Program),World Language (Spanish),Art,Music,Cheerleading,Basketball,Girls On The Run,Tutoring,"Soccer, DC SCORES",Embassy Adoption Program,Monthly performances and awards assemblies,Step Club,School Chorus,,Communication & Education Support,Early Childhood Communication & Education Support,,,,,,,,,,,,302,420,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,REAL School Gardens,OSSE’s School Gardens Program,Heart of America,DC Boys Choir,World Vision,George Washington University,Gethsemane Baptist Church,Girl Scouts of America,Howard University,,,,,,,,,,60 62 63 64 70 79,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,,,,649,0%,47%,48%,0%,3%,1%,0%,34%,12%,100%,68%,8%,13%,21%,26%,37%,27%,32%,31%,2%,3%,23%,27%,23%,23%,5%,14%,15%,19%,21%,25%,31%,37%,27%,4%,5%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,43%,55%,51%,63%,71%,54%,NA,NA,NA,94%,95%,93%,4%,1%,13%,4%,3%,4%,0%,0%,0%,93%,90%,85%,95%,97%,89%,88%,86%,81%,96%,93%,92%,,,,,,,,,,
Beers Elementary School,206,3600 Alabama Ave. SE,Washington,DC,20020,-76.95560475,38.86434984,7,(202) 939-4800,(202) 645-3225,http://annebeers.org/,Gwendolyn Payton,gwendolyn.payton@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"Beers maintains strong community and business partnerships which support student learning and nurtures meaningful, on-going relationships. Students engage in a variety of learning experiences which integrate subject matter in a holistic manner. Technology is used to support student learning. Teachers and staff value ongoing learning to enhance program effectiveness. Beers provides off-campus learning opportunities to strengthen and increase the relevance and connection to the real-world. Beers is a welcoming family oriented school community. Staff conduct home visits to strengthen and build relationships and to equip families with the strategies and skills to help support student learning. Upon promotion from Beers, a student will be a global citizen who is caring, collaborative, critical-thinking, solution-oriented, and ready to lead.",Georgetown DC READS,The University of the District of Columbia,Higher Achievement,The Urban Teacher Center,Junior Great Books,DC SCORES,The  Washington Nationals Youth Baseball Academy,Delete (F.Y.L.O.),Georgetown University,Children's National Medical Center (Being Me Project),The Kennedy Center,Garden Club,Earth's Natural Forces,Embassy Adoption Program,DanceDC (Washington Ballet),Communication & Education Support,Early Childhood Communication & Education Support,Early Learning Support,,,,,,,,,,,427,,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,Hilcrest Heights Civic Association,East Washington Heights Baptist Church,Willing Hearts Community Church,Francis Gregory Library,Fort Davis Recreation Center,Dream Step Dance Academy,The Washington Ballet@The ARC,Jah-Ra Martial Arts,Penn Branch Civic Association,,,,,,,,,,30N 30S 32 36 39 D51 M6 S35 V5 W3 W4,,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,27,,,464,0%,98%,0%,0%,1%,0%,0%,0%,23%,100%,44%,26%,25%,27%,29%,26%,25%,20%,20%,1%,1%,23%,27%,23%,23%,5%,23%,31%,28%,26%,23%,26%,24%,17%,2%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,37%,57%,51%,57%,61%,54%,NA,NA,NA,93%,94%,93%,0%,1%,13%,0%,0%,4%,0%,0%,0%,92%,92%,85%,99%,97%,89%,86%,85%,81%,100%,97%,92%,Home visits per 100 students,The number of home visits made per 100 students in the school.,90,95,40,IEP timeliness,The percentage of all IEP meetings that were held on time.,100%,100%,99%
Brent Elementary School,212,301 North Carolina Ave. SE,Washington,DC,20003,-77.00145985,38.88480121,6,(202) 698-3363,(202) 698-3369,brentelementary.org,Norah Lycknell,Norah.Lycknell@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"At Brent, we bring together a diverse learning community of students, staff and families to provide an academic, ethical and personalized foundation for success in a global society. The goal is to nurture self-motivated and joyful learners who are creative and critical in their thinking and highly capable in their communication.",6th and 7th Grade Math,Springboard Before and After-School,Urban Birding,Everybody Wins!,National War College,Spark PE Curriculum,Girls on the Run,Tippy Toes,Health and Fitness Day,Field Day,School Play,Chess Challenge,Everybody Wins!,National War College,Art Club,,,,,,,,,,,,,,433,,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,Everybody Wins,National War College,Gallaudet University,Trinity University,Catholic University,,,,,,,,,,,,,,30N 30S 32 34 36 39 90 92 97 DCCirculator,Blue/Orange/Silver Lines: Capitol South Station,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,79,,,404,3%,17%,7%,0%,66%,6%,0%,3%,8%,10%,65%,5%,8%,14%,7%,20%,24%,39%,46%,22%,15%,23%,27%,23%,23%,5%,4%,7%,11%,14%,21%,18%,51%,49%,14%,12%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,56%,58%,51%,55%,38%,54%,NA,NA,NA,96%,97%,93%,1%,0%,13%,1%,2%,4%,0%,0%,0%,93%,90%,85%,93%,93%,89%,84%,84%,81%,92%,78%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,38%,28%,35%,Students with over 90% in-seat attendance,The percentage of students who have attended more than 90% of school days.,97%,99%,81%
Brightwood Education Campus,213,1300 Nicholson St. NW,Washington,DC,20011,-77.03068885,38.96053573,4,(202) 722-5670,(202) 576-6168,profiles.dcps.dc.gov/Brightwood+Education+Campus,Maurice Kennard,maurice.kennard@dc.gov,PK3-8th,8:45 a.m. – 3:15 p.m.,"Brightwood Education Campus strives to foster an environment that builds a pathway to college and career readiness by inspiring scholars to become lifelong learners, creative problem solvers, critical thinkers, compassionate human beings, and responsible citizens. We are committed to providing a safe and supportive learning environment that promotes respect, integrity, and excellence in teaching and learning. We are fully committed to working with each scholar, each family, and the greater Brightwood community to insure that all of our scholars reach their full potential.",Higher Achievement & Techbridge Program,"Middle School Electives (gardening, human rights, art, consumer sciences, PE, art, music)","i-Ready Math, ST Math, Newsela, Lexia, Read 180, System 44",Newcomers Program & SpellRead/Lexia,Model UN (United Nations),DC SCORES Elementary & Middle School (soccer any poetry),Elementary and Middle School Sports,Playworks,Girls on the Run (elementary and middle),Peace Education,Dream Dance,Spanish & HS Credit French/Spanish,Art Club,Art & Music Electives,Embassy Adoption Program,,,,,,,,,,,,,,455,,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,Kennedy Center,Discovery Education,Tellin' Stories -- Teaching for Change,4-H,The Emory Fellowship,Georgia Avenue Collaborative,Flamboyan Foundation,,,,,,,,,,,,52 53 54 70 79 E2 E4 D31 D33 D34 S1 S2 S4 S9 W45,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,26,,,755,1%,22%,75%,0%,1%,0%,0%,60%,10%,100%,74%,22%,24%,28%,32%,23%,24%,26%,17%,1%,3%,23%,27%,23%,23%,5%,35%,43%,23%,26%,24%,19%,17%,12%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,56%,44%,51%,58%,46%,54%,NA,NA,NA,94%,95%,93%,15%,3%,15%,7%,4%,4%,0%,0%,0%,81%,79%,86%,86%,85%,85%,81%,86%,82%,90%,96%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,41%,27%,35%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,28%,21%,21%
Burroughs Elementary School,220,1820 Monroe St. NE,Washington,DC,20018,-76.97845637,38.93350266,5,(202) 576-6150,(202) 576-6819,www.jbecstem.com,LeVar Jenkins,levar.jenkins@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"John Burroughs Elementary School (JBES) is a Science, Technology, Engineering and Mathematics (STEM) school serving Pre-school - 5th grade. STEM is the foundation at JBES with a school-wide focus on data-driven instruction and hands-on exploratory projects enabling learners to experience rigorous content and through collaboration develop solutions in our community and beyond. Our staff all believe that with an abundant amount of care and support, our scholars can achieve at the highest levels. Our students are reflective scholars that enable them to successfully be resourceful, respectful, responsible and safe as they interact with their peers. At JBES students come with curiosity and leave with confidence.",Academic Power Hour,First Lego League Jr.,TechBridge Girls Inspire,Student Government,Live it! Learn It!,Basketball,Cheerleading,Girls on the Run,Martha's Market,First Home Care,Art,Music,Geography Club,Garden Science,Dance Place,Communication & Education Support,Early Childhood Communication & Education Support,,,,,,,,,,,,347,,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,Techbridge Girls Inspire,DC Sustainable Energy and Utility,REAL School Gardens,Monarch Sisters Schools,Flamboyan Foundation,Live It! Learn It!,Project Lead the Way,Weather Bug Schools,Martha's Market,Microsoft Minecraft Education,,,,,,,,,83 86 E2 G8 H6 T14 T18,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,19,Yes with Distinction,,290,1%,88%,9%,0%,2%,0%,0%,5%,17%,100%,44%,13%,12%,36%,22%,28%,35%,23%,31%,0%,1%,23%,27%,23%,23%,5%,31%,21%,27%,24%,27%,31%,14%,24%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,40%,58%,51%,45%,54%,54%,NA,NA,NA,92%,97%,93%,16%,0%,13%,1%,2%,4%,0%,0%,0%,80%,86%,85%,87%,90%,89%,79%,71%,81%,100%,91%,92%,,,,,,,,,,
Burrville Elementary School,221,801 Division Ave. NE,Washington,DC,20019,-76.92445918,38.90056577,7,(202) 671-6020,(202) 724-5578,www.burrvillees.org/,Tui Roper,tui.roper@dc.gov,PK3-5th,8:15 a.m. - 4:15 p.m.,"Our vision is to empower scholars who demonstrate outstanding self-efficacy; are aware of their impact on their community and society; hold themselves and others accountable to their academic achievement; and are characterized by being respectful and responsible. Burrville offers the following programs: STEM; Schoolwide Enrichment Model (SEM); RISE Academy for Advanced Learners; Embassy Adoption Program; and Breathe4Change. 2017 Bronze National Healthy Schools Award Winners;
2016 DC EDFund Innovation in Schools Award Winners.


",DC Reads,"Blended Learning: ST math, myON reading and Lexia",Schoolwide Enrichment Model,STEM Club,RISE Academy for Advanced Learners,DC Scores Soccer and Poetry - Girl's Team Citywide Champions,Breather for Change Yoga and Mindfulness,Joyful Market,2017 Bronze National Healthy Schools Award,Fresh Fruits and Vegetables Program,Performing Arts/Drama,Art Club,Dance,Girls on the Run,,,,,,,,,,,,,,,421,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,Contee AME Church,DC Reads- Georgetown,Sargent Memorial Church,DC Scores,DC Dance Place,Martha's Table,,,,,,,,,,,,,U4 V2 V4 W4 X9,,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,24,Yes,,325,0%,98%,1%,1%,0%,1%,0%,1%,7%,100%,56%,24%,31%,33%,34%,28%,23%,13%,11%,2%,0%,23%,27%,23%,23%,5%,27%,40%,31%,26%,29%,24%,14%,10%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,53%,35%,51%,56%,45%,54%,NA,NA,NA,91%,93%,93%,38%,22%,13%,2%,1%,4%,0%,0%,0%,99%,99%,85%,100%,100%,89%,69%,81%,81%,91%,100%,92%,,,,,,,,,,
Cleveland Elementary School,224,1825 8th St. NW,Washington,DC,20001,-77.02270718,38.91514529,1,(202) 939-4380,(202) 673-6461,http://clevelandesdc.org/,Anna Krughoff,anna.krughoff2@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"Our mission is to provide our scholars with rich instruction and a rigorous interdisciplinary curriculum designed to stimulate deep creative inquiry, critical thinking, intellectual stamina, and moral responsibility in an environment of shared values of non-violence, equality, and unity.  

We have a Dual Language program and a traditional English classroom. 

Cleveland has received the following awards: Breakthrough Schools, 2015; Proving What's Possible Grant, 2012; Fight for Children (Rising Star Grant), 2011; and National Distinguished Title I School.",DCPS Advanced Readers Extensions (DARE),Art Around the Corner,GeoPlunge,Pre-K Program (Three- and Four-Year Olds),Academic Power Hour (After School Program),United States Tennis Association (USTA),Healthy Smiles (free dental services),American Heart Association,Fresh Fruit and Vegetable Program,City Blossoms School Garden Program,Dual Language,Foreign Language in Elementary Schools (FLES),Choir,Art Club,Instrumental Music (Guitar and Piano),Behavior & Education Support,,,,,,,,,,,,,454,420,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,Buckley Sandler LLP,Healthy Smiles (free dental services),Heart of America,Howard University Jumpstart,Matory's Hayriders,National Gallery of Art,New Bethel Church,NOAA Center for Atmospheric Sciences (NCAS),"The Links, Inc.",US Tennis Association,,,,,,,,,63 64 70 79 90 92 96 G2 G8 G9 X3,Green/Yellow Lines: Shaw Station,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,36,,,321,1%,60%,31%,0%,6%,2%,0%,15%,14%,100%,31%,16%,11%,27%,25%,28%,30%,24%,30%,4%,3%,23%,27%,23%,23%,5%,22%,14%,28%,20%,24%,37%,24%,29%,2%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,23%,47%,51%,30%,54%,54%,NA,NA,NA,95%,95%,93%,11%,6%,13%,9%,2%,4%,0%,0%,0%,74%,88%,85%,80%,96%,89%,80%,85%,81%,95%,96%,92%,,,,,,,,,,
