,gsId,name,type,gradeRange,enrollment,parentRating,city,state,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,gsRating,districtId,district,districtNCESId,Zip Code
0,394,Academia de la Recta Porta,private,PK-12,72.0,4.0,Washington,DC,"7614 Georgia Ave NW, 
Washington, DC  20012",(202) 726-8737,,,A0300737,38.982582,-77.02679,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/394-Academia-De-La-Recta-Porta/?utm_source=GSAPI&utm_medium=referral,,,,,20012
1,246,Academy for Ideal Education - T Street,private,1-12,65.0,4.0,Washington,DC,"62 T st N.E washington, 
Washington, DC  20002",(202) 269-3186,(202) 269-3426,http://www.idealacademy.org/,A9901125,38.91555,-77.00846,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/246-Academy-For-Ideal-Education---T-Street/?utm_source=GSAPI&utm_medium=referral,,,,,20002
2,881,Alternative Solutions for Youth,private,n/a,,,Washington,DC,"1301 Lenfant Square, 
Washington, DC  20020",(202) 584-1244,(423) 472-2718,http://dcase.org/Alternative,,38.87393,-76.97009,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/881-Alternative-Solutions-For-Youth/?utm_source=GSAPI&utm_medium=referral,,,,,20020
3,66,Anacostia High School,public,9-12,597.0,2.0,Washington,DC,"1601 16th Street Southeast, 
Washington, DC  20020",(202) 698-2155,(202) 698-2188,http://www.dcps.dc.gov,110003000085,38.86994,-76.98285,https://www.greatschools.org/washington-dc/washington/66-Anacostia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/66-Anacostia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/66-Anacostia-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/66-Anacostia-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,District Of Columbia Public Schools,1100030.0,20020
4,166,Archbishop Carroll High School,private,9-12,450.0,4.0,Washington,DC,"4300 Harewood Rd NE, 
Washington, DC  20017",(202) 529-0900,(202) 526-8879,http://www.archbishopcarroll.org,00252648,38.94075,-77.00317,https://www.greatschools.org/washington-dc/washington/166-Archbishop-Carroll-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/166-Archbishop-Carroll-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/166-Archbishop-Carroll-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/166-Archbishop-Carroll-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,20017
5,847,BASIS DC,charter,5-12,648.0,4.0,Washington,DC,"410 8th Street NW, 
Washington, DC  20004",(202) 804-6390,(202) 393-5438,http://www.basisdc.org,110008300443,38.89523,-77.02331,https://www.greatschools.org/washington-dc/washington/847-BASIS-DC-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/847-BASIS-DC-/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/847-BASIS-DC-/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/847-BASIS-DC-/?utm_source=GSAPI&utm_medium=referral,8.0,124.0,Basis Dc Pcs,1100083.0,20004
6,65,Ballou High School,public,9-12,933.0,3.0,Washington,DC,"3401 4th Street Southeast, 
Washington, DC  20032",(202) 645-3400,(202) 645-3397,http://www.dcps.dc.gov,110003000084,38.839355,-77.00143,https://www.greatschools.org/washington-dc/washington/65-Ballou-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/65-Ballou-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/65-Ballou-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/65-Ballou-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,1.0,District Of Columbia Public Schools,1100030.0,20032
7,330,Ballou STAY High School,public,9-12,252.0,5.0,Washington,DC,"3401 4th Street Southeast, 
Washington, DC  20032",(202) 645-3390,(202) 645-3935,http://www.dcps.dc.gov,110003000207,38.839355,-77.00143,https://www.greatschools.org/washington-dc/washington/330-Ballou-STAY-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/330-Ballou-STAY-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/330-Ballou-STAY-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/330-Ballou-STAY-High-School/?utm_source=GSAPI&utm_medium=referral,,1.0,District Of Columbia Public Schools,1100030.0,20032
8,120,Benjamin Banneker High School,public,9-12,454.0,4.0,Washington,DC,"800 Euclid Street Northwest, 
Washington, DC  20001",(202) 671-6320,(202) 673-2231,http://www.dcps.dc.gov,110003000153,38.92346,-77.02397,https://www.greatschools.org/washington-dc/washington/120-Benjamin-Banneker-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/120-Benjamin-Banneker-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/120-Benjamin-Banneker-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/120-Benjamin-Banneker-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,1.0,District Of Columbia Public Schools,1100030.0,20001
9,1220,Blyth-Templeton Academy,private,9-12,100.0,,Washington,DC,"921 Pennsylvania Ave SE, Office #013, 
Washington, DC  20036",(202) 847-0779,,www.blythtempleton.org,,38.910896,-77.042694,https://www.greatschools.org/washington-dc/washington/1220-Blyth-Templeton-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/1220-Blyth-Templeton-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/1220-Blyth-Templeton-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/1220-Blyth-Templeton-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,20036
10,373,British International School of Washington,private,PK-12,501.0,3.0,Washington,DC,"2001 Wisconsin Avenue NW, 
Washington, DC  20007",(202) 829-3700,(202) 829-6522,http://www.nordangliaeducation.com/our-schools/washington,A0500912,38.91671,-77.0681,https://www.greatschools.org/washington-dc/washington/373-British-International-School-Of-Washington/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/373-British-International-School-Of-Washington/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/373-British-International-School-Of-Washington/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/373-British-International-School-Of-Washington/?utm_source=GSAPI&utm_medium=referral,,,,,20007
11,882,Building for the Future/Seeds of Tomorrow,private,n/a,,,Washington,DC,"2041 Martin Luther King Jr. Ave, 
Washington, DC  20020",(202) 747-7530,(717) 394-0885,http://empoweringcenter.org/newempoweringcenter,,38.86591,-76.98979,https://www.greatschools.org/washington-dc/washington/882-Building-For-The-Future-Seeds-Of-Tomorrow/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/882-Building-For-The-Future-Seeds-Of-Tomorrow/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/washington-dc/washington/882-Building-For-The-Future-Seeds-Of-Tomorrow/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/washington-dc/washington/882-Building-For-The-Future-Seeds-Of-Tomorrow/?utm_source=GSAPI&utm_medium=referral,,,,,20020
