,gsId,name,type,gradeRange,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,parentRating,enrollment,gsRating,Zip Code
0,3290,Achievement Integrity And Maturity,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2064,,,510126002674,38.7638,-77.0794,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,,,,22306
1,3062,Alc At Bryant,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2101,,,510126001103,38.764225,-77.080025,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,,,,22306
2,4976,Alc At Montrose,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"6525 Montrose Street, 
Alexandria, VA  22312",(703) 658-5800,,,510126002790,38.815468,-77.162674,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,5.0,,,22312
3,2462,Alexandria Friends School,private,9-12,Alexandria,VA,,,,"3830 Seminary Road, 
Alexandria, VA  22304",(703) 461-8880,,,A9904411,38.821,-77.0956,https://www.greatschools.org/virginia/alexandria/2462-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2462-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2462-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2462-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral,5.0,,,22304
4,3339,Alexandria Friends School,private,10-12,Alexandria,VA,,,,"3830 Seminary Road, 
Alexandria, VA  22304",(703) 461-7222,(703) 461-7003,http://www.afriends.org,A0792078,38.820274,-77.09668,https://www.greatschools.org/virginia/alexandria/3339-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3339-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3339-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/3339-Alexandria-Friends-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,22304
5,1967,Bishop Ireton High School,private,9-12,Alexandria,VA,,,,"201 Cambridge Road, 
Alexandria, VA  22314",(703) 751-7606,,http://www.bishopireton.org/,01432368,38.809135,-77.08078,https://www.greatschools.org/virginia/alexandria/1967-Bishop-Ireton-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/1967-Bishop-Ireton-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/1967-Bishop-Ireton-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/1967-Bishop-Ireton-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,800.0,,22314
6,510,Bryant Alternative High School,public,7-12,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2001,,,510126000497,38.764225,-77.080025,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,302.0,,22306
7,7708,Clifford S. Hardison Governor's Health Sciences Academy,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"6500 Quander Road, 
Alexandria, VA  22307",(703) 329-7727,,,510126003012,38.77438,-77.07182,https://www.greatschools.org/virginia/alexandria/7708-Clifford-S.-Hardison-Governor's-Health-Sciences-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/7708-Clifford-S.-Hardison-Governor's-Health-Sciences-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/7708-Clifford-S.-Hardison-Governor's-Health-Sciences-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/7708-Clifford-S.-Hardison-Governor's-Health-Sciences-Academy/?utm_source=GSAPI&utm_medium=referral,,,,22307
8,2561,Commonwealth Academy,private,3-12,alexandria,VA,,,,"1321 Leslie Avenue, Alexandria VA 22301, 
alexandria, VA  22301",(703) 548-6912,(703) 548-6914,www.CA-Empowers.org,A0303208,38.818855,-77.05281,https://www.greatschools.org/virginia/alexandria/2561-Commonwealth-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2561-Commonwealth-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2561-Commonwealth-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2561-Commonwealth-Academy/?utm_source=GSAPI&utm_medium=referral,5.0,170.0,,22301
9,475,Edison High School,public,9-12,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"5801 Franconia Road, 
Alexandria, VA  22310",(703) 924-8000,,,510126000461,38.782112,-77.13396,https://www.greatschools.org/virginia/alexandria/475-Edison-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/475-Edison-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/475-Edison-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/475-Edison-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,1965.0,4.0,22310
