,gsId,name,type,gradeRange,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,parentRating,enrollment,gsRating,Zip Code
0,3290,Achievement Integrity And Maturity,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2064,,,510126002674,38.7638,-77.0794,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/3290-Achievement-Integrity-And-Maturity/?utm_source=GSAPI&utm_medium=referral,,,,22306
1,3062,Alc At Bryant,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2101,,,510126001103,38.764225,-77.080025,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/3062-Alc-At-Bryant/?utm_source=GSAPI&utm_medium=referral,,,,22306
2,4976,Alc At Montrose,public,n/a,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"6525 Montrose Street, 
Alexandria, VA  22312",(703) 658-5800,,,510126002790,38.815468,-77.162674,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/4976-Alc-At-Montrose/?utm_source=GSAPI&utm_medium=referral,5.0,,,22312
3,2269,Alexandria Country Day School,private,K-8,Alexandria,VA,,,,"2400 Russell Road, 
Alexandria, VA  22301",(703) 548-4804,,www.acdsnet.org,A9304116,38.82789,-77.066536,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2269-Alexandria-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,5.0,187.0,,22301
4,2101,Blessed Sacrament School & Early Childhood Center,private,PK-8,Alexandria,VA,,,,"1417 West Braddock Road, 
Alexandria, VA  22302",(703) 998-4170,,,01636066,38.82653,-77.082596,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2101-Blessed-Sacrament-School-&-Early-Childhood-Center/?utm_source=GSAPI&utm_medium=referral,3.0,343.0,,22302
5,2025,Browne Academy,private,PK-8,Alexandria,VA,,,,"5917 Telegraph Rd, 
Alexandria, VA  22310",(703) 960-3000,,http://www.browneacademy.org/,01433689,38.788956,-77.0838,https://www.greatschools.org/virginia/alexandria/2025-Browne-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2025-Browne-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2025-Browne-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2025-Browne-Academy/?utm_source=GSAPI&utm_medium=referral,4.0,250.0,,22310
6,510,Bryant Alternative High School,public,7-12,Alexandria,VA,68.0,Fairfax County Public Schools,5101260.0,"2709 Popkins Lane, 
Alexandria, VA  22306",(703) 660-2001,,,510126000497,38.764225,-77.080025,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/510-Bryant-Alternative-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,302.0,,22306
7,2018,Burgundy Farm Country Day School,private,PK-8,Alexandria,VA,,,,"3700 Burgundy Road, 
Alexandria, VA  22303",(703) 329-6968,,http://www.burgundyfarm.org,01433601,38.797882,-77.09466,https://www.greatschools.org/virginia/alexandria/2018-Burgundy-Farm-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2018-Burgundy-Farm-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2018-Burgundy-Farm-Country-Day-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2018-Burgundy-Farm-Country-Day-School/?utm_source=GSAPI&utm_medium=referral,5.0,265.0,,22303
8,2164,Calvary Road Christian School,private,PK-8,Alexandria,VA,,,,"6811 Beulah Street, 
Alexandria, VA  22310",(703) 971-8004,,www.crcs.org,02065361,38.768677,-77.153534,https://www.greatschools.org/virginia/alexandria/2164-Calvary-Road-Christian-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2164-Calvary-Road-Christian-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2164-Calvary-Road-Christian-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2164-Calvary-Road-Christian-School/?utm_source=GSAPI&utm_medium=referral,4.0,215.0,,22310
9,2165,Christian Center School,private,PK-8,Alexandria,VA,,,,"5411 Franconia Road, 
Alexandria, VA  22310",(703) 971-0558,(703) 971-4264,http://www.ccmfamily.org/school,02065372,38.784,-77.1276,https://www.greatschools.org/virginia/alexandria/2165-Christian-Center-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2165-Christian-Center-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/virginia/alexandria/2165-Christian-Center-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/virginia/alexandria/2165-Christian-Center-School/?utm_source=GSAPI&utm_medium=referral,4.0,135.0,,22310
