name,loc_type,street,town,other_address
Baileys Crossroads Health Access Partnership,Clinics,3245 Glen Carlyn Rd,"Falls Church, VA 22041",
Clinical Studies Limited,Clinics,6066 Leesburg Pike,"Falls Church, VA 22041",
Park Center,Clinics,2601 Park Center Dr,"Alexandria, VA 22302",
Medstar Promptcare,Clinics,3610 King St,"Alexandria, VA 22302",
Prime Medical Center,Clinics,2946 Sleepy Hollow Rd,"Falls Church, VA 22044",
Georgetown Lombardi Comprehensive Cancer Center-Pediatrics,Clinics,3800 Reservoir Rd NW,"Washington, DC 20007",
Parkinsons Disease Clinic,Clinics,3800 Reservoir Rd NW,"Washington, DC 20007",
Tidings Out Of The East Inc.,Clinics,5713 Harwich Ct,"Alexandria, VA 22311",
Denova MIS Clinic,Clinics,6400 Arlington Blvd,"Falls Church, VA 22042",
Comprehensive Health Clinic,Clinics,730 24th St NW Ste 2,"Washington, DC 20037",
George Washington University Hospital,Clinics,901 23rd St NW,"Washington, DC 20037",
Depression Clinic,Clinics,3 Washington Cir NW,"Washington, DC 20037",
Washington Endocrine Clinic,Clinics,2440 M St NW Ste 417,"Washington, DC 20037",
Pinney Davenport Nutrition,Clinics,2440 M St NW,"Washington, DC 20037",
A Center For Self-Development,Clinics,2440 M St NW Ste 425,"Washington, DC 20037",
Inova Health,Clinics,500 N Washington St,"Falls Church, VA 22046",
Fogel Foundation,Clinics,1011 New Hampshire Ave NW,"Washington, DC 20037",
Childrens National Medical Center,Clinics,2141 K St NW Ste 600,"Washington, DC 20037",
Allergy & Nutrition Clinic,Clinics,6521 Arlington Blvd Ste 104,"Falls Church, VA 22042",
Taste & Smell Clinic,Clinics,5125 Macarthur Blvd NW Ste 20,"Washington, DC 20016",
Medical Care Inc,Clinics,2029 K St NW,"Washington, DC 20006",
MedStar Medical Group At Lafayette,Clinics,1133 21st St NW,"Washington, DC 20036",
Reproductive Health Technologies Project,Clinics,1020 19th St NW Ste 875,"Washington, DC 20036",
Unity Health Care,Clinics,444 Swann Ave,"Alexandria, VA 22301",
Select Medical,Clinics,919 18th St NW,"Washington, DC 20006",
Wake Forest Baptist Med Ctr,Clinics,1850 M St NW,"Washington, DC 20036",
Cardio Care,Clinics,900 17th St NW,"Washington, DC 20006",
Bline Medical,Clinics,1300 19th St NW Ste 101,"Washington, DC 20036",
Arlington Urgent Care Center,Clinics,1 Hillwood Ave,"Falls Church, VA 22046",
Michael Romeo Group,Clinics,1219 Connecticut Ave NW Fl 4,"Washington, DC 20036",
Advanced Back & Neck Pain Center,Clinics,46 S Glebe Rd Ste 100,"Arlington, VA 22204",
XPRESS Care Walk-In Urgent Care,Clinics,1409 S Fern St,"Arlington, VA 22202",
Healing  Works Physical Therapy,Clinics,512 N Oxford St,"Arlington, VA 22203",
Wound Care & Hyperbaric Medicine - VHC Physician Group,Clinics,1701 N George Mason Dr Ste G200,"Arlington, VA 22205",
Inova Urgent Care-South Arlington,Clinics,3263 Columbia Pike,"Arlington, VA 22204",
MinuteClinic,Clinics,3133 Lee Hwy,"Arlington, VA 22201",
Broadreach Healthcare,Clinics,1655 Fort Myer Dr Ste 700,"Arlington, VA 22209",
"Arlington Advanced Dental Care, Dr.Hossein Ahmadian,DDS",Clinics,1010 N Glebe Rd Ste 120,"Arlington, VA 22201",
Bug & Bunny Clinic Inc,Clinics,3902 Wilson Blvd,"Arlington, VA 22203",
Arlington Free Clinic,Clinics,2921 11th St S,"Arlington, VA 22204",
Immunization Clinic,Clinics,2100 Washington Blvd,"Arlington, VA 22204",
Collaborative Physical Therapy P,Clinics,4923 14th St N,"Arlington, VA 22205",
Matthew B Gavin,Clinics,2445 Army Navy Dr,"Arlington, VA 22206",
Whitman Walker Clinic,Clinics,5232 Lee Hwy,"Arlington, VA 22207",
Mid Atlantic Urgent Care,Clinics,3301 Wilson Blvd,"Arlington, VA 22201",
"Dr. George C Branche, MD",Clinics,2445 Army Navy Dr,"Arlington, VA 22206",
Dominion Fertility,Clinics,4040 Fairfax Dr Ste 600,"Arlington, VA 22203",
Virginia Hospital Center,Clinics,601 S Carlin Springs Rd,"Arlington, VA 22204",
"Gordon, John David, MD",Clinics,46 S Glebe Rd Ste 301,"Arlington, VA 22204",
Jacobs Chiropractic,Clinics,2433 26th Rd S,"Arlington, VA 22206",
Free Abortion Alternatives,Clinics,1100 N Glebe Rd Ste 1010,"Arlington, VA 22201",
Bowman Chiropractic Center And Arlington Pain Management,Clinics,3924 Wilson Blvd,"Arlington, VA 22203",
DaVita,Clinics,4805 1st St N,"Arlington, VA 22203",
"Dr. Alan Stephen Terlinsky, MD",Clinics,611 S Carlin Springs Rd Ste 411,"Arlington, VA 22204",
Renascence Clinic,Clinics,46 S Glebe Rd Ste 103,"Arlington, VA 22204",
Arlington Primary Care,Clinics,1635 N George Mason Dr,"Arlington, VA 22205",
Da Vita Inc,Clinics,1701 N George Mason Dr,"Arlington, VA 22205",
Nirschl Orthopedic Center,Clinics,1715 N George Mason Dr Ste 504,"Arlington, VA 22205",
"Dr. John Alan Sandiford, MD",Clinics,1715 N George Mason Dr Ste 403,"Arlington, VA 22205",
Breast Health Center,Clinics,1715 N George Mason Dr Ste 2,"Arlington, VA 22205",
Pentagon City Kidney Center,Clinics,2445 Army Navy Dr,"Arlington, VA 22206",
Coudon Wilson L,Clinics,1400 S Joyce St,"Arlington, VA 22202",
Ageless M D,Clinics,2221 N Buchanan St,"Arlington, VA 22207",
Core Elements Physical Therapy,Clinics,4900 31st St S,"Arlington, VA 22206",
Virginia Radiological Ass,Clinics,2501 N Glebe Rd,"Arlington, VA 22207",
Target - Pharmacy,Clinics,5115 Leesburg Pike,"Falls Church, VA 22041",
"The Physician & Midwife Collaborative Practice, P.C.",Clinics,4660 Kenmore Ave,"Alexandria, VA 22304",
Prime Medical Center,Clinics,6400 Seven Corners Pl Ste M,"Falls Church, VA 22044",
Advantage Physical Therapy,Clinics,6565 Arlington Blvd Ste 220,"Falls Church, VA 22042",
"Capital Dermatology, LTD",Clinics,4660 Kenmore Ave Ste 500,"Alexandria, VA 22304",
Seven Corners Medical Center,Clinics,6045 Arlington Blvd,"Falls Church, VA 22044",
Route 7 & Patrick Henry Dental Care,Clinics,6201 Leesburg Pike Ste 401,"Falls Church, VA 22044",
The Institute of Multidimensional Medicine Medical Spa - TIMM SPA,Clinics,2311 M St NW Ste 202,"Washington, DC 20037",
Inova Alexandria Occupational Health Center,Clinics,4320 Seminary Rd,"Alexandria, VA 22304",
Inova Urogynecology,Clinics,500 N. Washington Street Suite 300,"Falls Church, VA 22046",
Health Essence Clinical Massage,Clinics,6521 Arlington Blvd Ste 104,"Falls Church, VA 22042",
MedStar Health Orthopedic & Sports Center,Clinics,1120 20th St NW,"Washington, DC 20036",
Passport Health DC,Clinics,1145 19th St NW Ste 608,"Washington, DC 20036",
Mama Lidia's Clinic,Clinics,1705 L St NW,"Washington, DC 20036",
Gambro Healthcare,Clinics,5150 Duke St,"Alexandria, VA 22304",
Yater Medical Group,Clinics,1327 18th St NW,"Washington, DC 20036",
Legacy Health Care Services,Clinics,3520 Duke St,"Alexandria, VA 22304",
Washington Infectious Diseases,Clinics,1712 I St NW,"Washington, DC 20006",
Passport Health Alexandria,Clinics,3307 Duke St,"Alexandria, VA 22314",
Washington Ent Group,Clinics,2440 M St NW Ste 620,"Washington, DC 20037",
Washington Surgi-Clinic,Clinics,2112 F St NW Ste 400,"Washington, DC 20037",
Associates In Medicine,Clinics,131 E Broad St,"Falls Church, VA 22046",
Shady Grove Fertility Ctr,Clinics,2021 K St NW Ste 701,"Washington, DC 20006",
King Street Chiropractic Wellness Center,Clinics,3543 W Braddock Rd,"Alexandria, VA 22302",
MediClin,Clinics,"1050 17th street NW,suite 1000","Washington, DC 20036",
Metropolitan Plastic Surgery - Saeed Marefat MD,Clinics,313 Park Ave Ste 100a,"Falls Church, VA 22046",
Transformational Acupuncture,Clinics,1645 Connecticut Ave NW Apt 3,"Washington, DC 20009",
Ultrasound Associates,Clinics,5055 Seminary Rd Ste 104,"Alexandria, VA 22311",
